Date,Description,Amount,Type
31-08-2024,UPI/gpay-1124412000/Payment from Ph/ICICI BANK/007548050398/YBLz5zvxn0b8dpmmw48,4624.53,DR
31-08-2024,NEFT-RBL350395994573-HDFC AMC-A/C-8md06yv4yvvs229i-00350395994573-YESB,25755.02,CR
31-08-2024,UPI/gpay-1124412000/UPIIntent/AIRTEL PAYMENTS/038243864457/PPPL5278704379516XXXXXXXXXX,4145.97,DR
31-08-2024,UPI/swiggyupi@axb/Payment for 860/AXIS BANK/009975925618/RBLxmhx8mtpz6vyszju,4104.7,DR
31-08-2024,UPI/swiggyupi@axb/UPIIntent/ICICI BANK/733189570786/PPPL1231793799286XXXXXXXXXX,2410.62,DR
31-08-2024,NEFT/AIRTEL PAYMENTS/106459920498/Mazagon Dock/Transfer,3455.86,DR
31-08-2024,UPI/paytmqr6cu3by@p/Payment from Ph/AXIS BANK/952094773642/ICIkf8ujg202qr1qsjv,4348.29,DR
31-08-2024,NEFT/YES BANK LIMITE/707888117396/Zerodha/Transfer,716.9,DR
31-08-2024,NEFT/AIRTEL PAYMENTS/687919998569/Mazagon Dock/Transfer,4671.69,DR
31-08-2024,NEFT/AIRTEL PAYMENTS/685796407739/MutualFund/Transfer,2314.37,DR
31-08-2024,UPI/swiggyupi@axb/Payment for 853/AXIS BANK/018941153806/PPPL0hmh22ofhpo4vw9a,4221.84,DR
31-08-2024,NEFT/AXIS BANK/628745993008/CRISIL/Transfer,160.19,DR
31-08-2024,UPI/swiggyupi@axb/Payment for 597/AIRTEL PAYMENTS/136324426669/YBLmqhdavw8n60u98ze,1780.74,DR
31-08-2024,UPI/swiggyupi@axb/Payment for 722/HDFC BANK LTD/550830158720/ICIyx3q1xwvfq8iqh95,3448.2,DR
31-08-2024,UPI/zeptomarketplac/Payment from Ph/AIRTEL PAYMENTS/368061113679/AXLvp5d80uv73h1tkps,2095.87,DR
31-08-2024,UPI/swiggyupi@axb/Payment for 299/YES BANK LIMITE/265281001936/PPPL7h0zy3hjvm0jzxay,2444.65,DR
31-08-2024,UPI/blinkit.payu@hd/Payment from Ph/AIRTEL PAYMENTS/765777894780/RBLf9twyx0li6htjud0,2154.07,DR
31-08-2024,UPI/blinkit.payu@hd/Payment for 219/AXIS BANK/754754530106/RBLvshajjwsematjagy,4348.6,DR
31-08-2024,UPI/gpay-1124412000/Payment for 545/HDFC BANK LTD/423953397577/PPPL4w8bky9hpovrgjy7,4440.62,DR
31-08-2024,UPI/swiggyupi@axb/Payment from Ph/AXIS BANK/376055821449/PPPLiebqjqo0fwpyltff,1341.28,DR
31-08-2024,NEFT/AXIS BANK/103835303272/MutualFund/Transfer,4309.63,DR
31-08-2024,UPI/zeptomarketplac/Payment from Ph/AXIS BANK/608346367148/RBLol6qpwoq0ldaqieb,3194.4,DR
31-08-2024,NEFT/AIRTEL PAYMENTS/171100900420/Mazagon Dock/Transfer,4900.43,DR
