Date,Description,Amount,Type
30-06-2024,UPI/gpay-1124412000/Payment for 514/HDFC BANK LTD/455033256473/PPPLzuynom7znip5f0km,3855.12,DR
30-06-2024,NEFT-YBL527631749087-Mazagon Dock-A/C-7y9ler9ktlj0e7ag-00527631749087-YESB,25296.21,CR
30-06-2024,UPI/swiggyupi@axb/UPIIntent/AIRTEL PAYMENTS/523734736200/PYTM7545711306006XXXXXXXXXX,4440.52,DR
30-06-2024,UPI/paytmqr6cu3by@p/UPIIntent/YES BANK LIMITE/964613876704/PYTM5065324297084XXXXXXXXXX,184.67,DR
30-06-2024,UPI/gpay-1124412000/Payment for 165/AXIS BANK/206129440930/AXLgmb2ex4cy3zrmumx,4612.43,DR
30-06-2024,UPI/blinkit.payu@hd/Payment for 730/YES BANK LIMITE/812659709715/AXL76pqeon91h4aa6ik,2433.92,DR
30-06-2024,NEFT/ICICI BANK/509949751257/HDFC AMC/Transfer,1568.67,DR
30-06-2024,UPI/swiggyupi@axb/UPIIntent/YES BANK LIMITE/641422597803/PYTM8997790560909XXXXXXXXXX,944.1,DR
30-06-2024,UPI/blinkit.payu@hd/Payment for 184/YES BANK LIMITE/304311576521/ICIl3h9gmce1eqgkifz,1131.09,DR
30-06-2024,UPI/swiggyupi@axb/UPIIntent/YES BANK LIMITE/688219946732/PPPL8573826048426XXXXXXXXXX,2901.35,DR
30-06-2024,UPI/paytmqr6cu3by@p/Payment for 495/HDFC BANK LTD/728053862207/ICIymuz30q8vob2u2df,4515.57,DR
30-06-2024,NEFT/AIRTEL PAYMENTS/204520921464/HDFC AMC/Transfer,1575.17,DR
30-06-2024,UPI/swiggyupi@axb/UPIIntent/HDFC BANK LTD/888393211254/PYTM1263943621417XXXXXXXXXX,4095.63,DR
30-06-2024,UPI/paytmqr6cu3by@p/Payment from Ph/YES BANK LIMITE/903949473757/YBLs4auamebmxus1l3f,940.06,DR
30-06-2024,UPI/swiggyupi@axb/Payment for 266/YES BANK LIMITE/542875810142/AXLk2ypwvfzcdz7kcuz,4355.7,DR
30-06-2024,UPI/paytmqr6cu3by@p/Payment from Ph/HDFC BANK LTD/709253760415/AXLwdicvmen0bgmkn3t,4097.56,DR
30-06-2024,UPI/zeptomarketplac/Payment for 372/AIRTEL PAYMENTS/271693641859/YBL577hbz8dkyammtd8,3540.2,DR
30-06-2024,NEFT/AXIS BANK/848326702139/CRISIL/Transfer,779.33,DR
30-06-2024,UPI/paytmqr6cu3by@p/UPIIntent/AIRTEL PAYMENTS/181337560067/PPPL1223925947346XXXXXXXXXX,33.2,DR
30-06-2024,NEFT/YES BANK LIMITE/172570074910/HDFC AMC/Transfer,1779.31,DR
30-06-2024,UPI/swiggyupi@axb/UPIIntent/AXIS BANK/742186119620/PYTM5143834646099XXXXXXXXXX,1287.16,DR
30-06-2024,UPI/gpay-1124412000/Payment from Ph/AIRTEL PAYMENTS/268427664101/ICIqom2bpvqvkmsl8ko,2330.4,DR
30-06-2024,UPI/swiggyupi@axb/Payment from Ph/AIRTEL PAYMENTS/711416923220/AXL8qti7glc3rl1s9v0,851.48,DR
