Date,Description,Amount,Type
29-02-2024,UPI/swiggyupi@axb/UPIIntent/AIRTEL PAYMENTS/941228284683/PPPL8624018230352XXXXXXXXXX,2337.56,DR
29-02-2024,UPI/zeptomarketplac/UPIIntent/AXIS BANK/436689480740/PPPL1993812496875XXXXXXXXXX,4188.78,DR
29-02-2024,UPI/blinkit.payu@hd/Payment from Ph/YES BANK LIMITE/202363463320/YBLkagqcmu3pnydxqc8,3577.17,DR
29-02-2024,UPI/gpay-1124412000/Payment for 361/HDFC BANK LTD/536683236304/YBLqglqphypqmdln7vp,832.36,DR
29-02-2024,UPI/blinkit.payu@hd/Payment for 290/ICICI BANK/729750229638/AXLcocyzp1mu5h3xv74,1871.37,DR
29-02-2024,UPI/swiggyupi@axb/UPIIntent/AIRTEL PAYMENTS/300370654039/PPPL4196522917937XXXXXXXXXX,649.18,DR
29-02-2024,UPI/paytmqr6cu3by@p/UPIIntent/YES BANK LIMITE/327022762129/PPPL3458699426303XXXXXXXXXX,3021.07,DR
29-02-2024,UPI/gpay-1124412000/Payment from Ph/AIRTEL PAYMENTS/455665557220/RBLsk5itqjiaqeupaof,3193.82,DR
29-02-2024,UPI/paytmqr6cu3by@p/UPIIntent/ICICI BANK/396432421807/PYTM9925320710194XXXXXXXXXX,1769.67,DR
29-02-2024,UPI/paytmqr6cu3by@p/Payment for 837/ICICI BANK/600366672378/RBLgxtpttztaag04d2z,3889.34,DR
29-02-2024,NEFT/ICICI BANK/400624266215/Mazagon Dock/Transfer,2818.33,DR
29-02-2024,UPI/swiggyupi@axb/Payment for 234/YES BANK LIMITE/854338658656/YBLedvdw6f58bv8fss6,68.52,DR
29-02-2024,NEFT-AXL942881231188-MutualFund-A/C-qoi5pgyp44skslwc-00942881231188-YESB,14451.98,CR
29-02-2024,UPI/zeptomarketplac/UPIIntent/AXIS BANK/009385949182/PPPL3913657932902XXXXXXXXXX,871.12,DR
29-02-2024,NEFT/HDFC BANK LTD/895937685647/ABB Dividend/Transfer,1949.85,DR
29-02-2024,NEFT/AIRTEL PAYMENTS/435699508240/Mazagon Dock/Transfer,2457.16,DR
29-02-2024,ACH/CRISIL 6158/PR8820765AI07,16155.56,CR
29-02-2024,UPI/swiggyupi@axb/Refund from HDFC BANK LTD 490710201419/AXL,17671.22,CR
29-02-2024,UPI/paytmqr6cu3by@p/Payment from Ph/HDFC BANK LTD/964561703105/RBLzc8lwqsra6kvpu2e,2977.33,DR
29-02-2024,NEFT/ICICI BANK/881135195939/HDFC AMC/Transfer,4767.27,DR
29-02-2024,UPI/gpay-1124412000/Payment from Ph/HDFC BANK LTD/988731507859/PPPLmst0dmxc5b3sh553,2817.52,DR
29-02-2024,NEFT/HDFC BANK LTD/994942319592/Mazagon Dock/Transfer,571.6,DR
29-02-2024,UPI/paytmqr6cu3by@p/Payment for 974/AXIS BANK/673718969201/AXLecgz5oyt5avgp411,3065.49,DR
29-02-2024,UPI/swiggyupi@axb/UPIIntent/ICICI BANK/927636209031/PPPL3828013335002XXXXXXXXXX,2042.2,DR
29-02-2024,NEFT/YES BANK LIMITE/271758127508/Mazagon Dock/Transfer,4117.4,DR
29-02-2024,NEFT/HDFC BANK LTD/157073809468/HDFC AMC/Transfer,4237.99,DR
29-02-2024,NEFT/AIRTEL PAYMENTS/353291403668/CRISIL/Transfer,4873.63,DR
29-02-2024,UPI/blinkit.payu@hd/UPIIntent/ICICI BANK/753228837008/PYTM1025055127961XXXXXXXXXX,2724.42,DR
29-02-2024,NEFT/YES BANK LIMITE/831721487273/CRISIL/Transfer,1471.56,DR
29-02-2024,NEFT/AIRTEL PAYMENTS/402855394847/ABB Dividend/Transfer,2208.43,DR
29-02-2024,NEFT/AXIS BANK/713002108983/MutualFund/Transfer,2255.5,DR
29-02-2024,UPI/swiggyupi@axb/UPIIntent/AXIS BANK/918203295103/PPPL7757089423915XXXXXXXXXX,3366.79,DR
29-02-2024,UPI/blinkit.payu@hd/Payment for 272/AXIS BANK/790141451480/ICImczya8e97v7y3cuj,1042.34,DR
29-02-2024,UPI/swiggyupi@axb/Payment from Ph/YES BANK LIMITE/998765045984/ICI8brybyv9jc07lhcw,3768.46,DR
29-02-2024,UPI/paytmqr6cu3by@p/Payment for 639/AIRTEL PAYMENTS/329416398833/RBL2emmau88fasxomp3,3803.69,DR
29-02-2024,UPI/swiggyupi@axb/Payment for 929/AXIS BANK/965167750237/AXLv81x3bodzhdvc8x2,3577.65,DR
29-02-2024,UPI/gpay-1124412000/UPIIntent/AXIS BANK/913072642244/PPPL4781070596501XXXXXXXXXX,1079.55,DR
29-02-2024,UPI/gpay-1124412000/Payment for 517/AIRTEL PAYMENTS/755971542694/ICIlxm1pdlikbjmuirj,4891.06,DR
29-02-2024,NEFT/YES BANK LIMITE/327552084534/Zerodha/Transfer,2566.43,DR
29-02-2024,UPI/blinkit.payu@hd/Payment from Ph/HDFC BANK LTD/434090305428/YBLnor9cyzdfy0i49h1,358.44,DR
29-02-2024,NEFT-PPPL591175929023-HDFC AMC-A/C-wt6zbzx40obtp3ty-00591175929023-YESB,326.68,CR
29-02-2024,ACH/Mazagon Dock 7797/PR9543660AI07,8546.16,CR
29-02-2024,UPI/swiggyupi@axb/UPIIntent/ICICI BANK/588211856315/PPPL1628190024059XXXXXXXXXX,1690.71,DR
29-02-2024,NEFT/AXIS BANK/779513409871/MutualFund/Transfer,2301.54,DR
29-02-2024,NEFT/AIRTEL PAYMENTS/055209731608/CRISIL/Transfer,727.3,DR
29-02-2024,UPI/blinkit.payu@hd/UPIIntent/HDFC BANK LTD/774887866130/PYTM8976567059250XXXXXXXXXX,3760.2,DR
29-02-2024,UPI/zeptomarketplac/Payment for 387/YES BANK LIMITE/352523296293/YBLqydvd0k0xkevomdx,294.19,DR
29-02-2024,UPI/blinkit.payu@hd/UPIIntent/AIRTEL PAYMENTS/015943346465/PYTM6977392386220XXXXXXXXXX,1842.95,DR
29-02-2024,UPI/zeptomarketplac/UPIIntent/HDFC BANK LTD/648109838244/PYTM4158856365308XXXXXXXXXX,3400.24,DR
29-02-2024,UPI/paytmqr6cu3by@p/Payment from Ph/ICICI BANK/785762634837/YBLbua7t00d2rmetz93,1435.59,DR
29-02-2024,UPI/zeptomarketplac/UPIIntent/ICICI BANK/127119746572/PYTM7532051393823XXXXXXXXXX,4014.45,DR
29-02-2024,NEFT/HDFC BANK LTD/239661313760/Mazagon Dock/Transfer,4929.02,DR
29-02-2024,UPI/gpay-1124412000/Payment from Ph/YES BANK LIMITE/815660950430/YBLjfj38hya9buybbr6,4992.86,DR
29-02-2024,UPI/blinkit.payu@hd/Payment from Ph/HDFC BANK LTD/362035191625/RBLtx5wm6ylk5z965mt,1230.69,DR
29-02-2024,ACH/Zerodha 3839/PR1768775AI07,17206.79,CR
29-02-2024,UPI/zeptomarketplac/Payment for 486/YES BANK LIMITE/195326022909/YBLb9qwyao76gr2lpfo,2444.11,DR
29-02-2024,UPI/zeptomarketplac/Refund from AXIS BANK 364837321974/PPPL,3976.95,CR
29-02-2024,NEFT/YES BANK LIMITE/524442112625/ABB Dividend/Transfer,2799.73,DR
29-02-2024,UPI/swiggyupi@axb/UPIIntent/ICICI BANK/085265480871/PYTM1088478717921XXXXXXXXXX,4481.5,DR
29-02-2024,UPI/zeptomarketplac/UPIIntent/ICICI BANK/546659981720/PYTM8976194983127XXXXXXXXXX,187.22,DR
29-02-2024,UPI/blinkit.payu@hd/Payment from Ph/AXIS BANK/310909817793/RBLqzh16u58h7qhzv2b,276.34,DR
29-02-2024,NEFT/YES BANK LIMITE/720439168379/Mazagon Dock/Transfer,4261.95,DR
29-02-2024,UPI/blinkit.payu@hd/Payment from Ph/ICICI BANK/021893900380/RBLutfj3ubhx78k6bri,187.08,DR
29-02-2024,NEFT/AXIS BANK/317575737307/Mazagon Dock/Transfer,393.78,DR
29-02-2024,UPI/gpay-1124412000/UPIIntent/AXIS BANK/538382770461/PYTM9892882303042XXXXXXXXXX,2842.53,DR
29-02-2024,NEFT/HDFC BANK LTD/180299516332/Mazagon Dock/Transfer,3927.74,DR
29-02-2024,NEFT/ICICI BANK/983740654287/MutualFund/Transfer,973.28,DR
