Date,Description,Amount,Type
30-11-2023,UPI/blinkit.payu@hd/Payment from Ph/ICICI BANK/559384971487/AXLzt0ila0899fng163,1932.25,DR
30-11-2023,UPI/zeptomarketplac/UPIIntent/YES BANK LIMITE/933109089208/PYTM4679409113426XXXXXXXXXX,2501.2,DR
30-11-2023,UPI/paytmqr6cu3by@p/Payment from Ph/HDFC BANK LTD/968324420086/PPPLmqwfi1ks5ass1sa2,2709.68,DR
30-11-2023,UPI/paytmqr6cu3by@p/Payment for 937/HDFC BANK LTD/336773704623/ICI585vb3qt3jinz6uj,2742.89,DR
30-11-2023,UPI/swiggyupi@axb/UPIIntent/ICICI BANK/497336079489/PPPL6993231194421XXXXXXXXXX,1877.95,DR
30-11-2023,UPI/swiggyupi@axb/Payment from Ph/AXIS BANK/475609176122/YBLb9c54pi6dxug62cz,4924.08,DR
30-11-2023,UPI/blinkit.payu@hd/Payment for 315/AXIS BANK/475537846267/PPPL51i1k657xmmugmtk,1029.21,DR
30-11-2023,UPI/blinkit.payu@hd/Payment from Ph/HDFC BANK LTD/801798444818/ICIeep3yaush5gyz0ie,1104.1,DR
30-11-2023,UPI/gpay-1124412000/Payment for 939/AIRTEL PAYMENTS/573458837585/RBLh874mia4e6tkslac,2843.71,DR
30-11-2023,UPI/zeptomarketplac/Payment for 991/AXIS BANK/659824038965/AXLze1hv2u2kxf949ud,4019.37,DR
30-11-2023,NEFT/AXIS BANK/550663889954/MutualFund/Transfer,3695.98,DR
30-11-2023,NEFT/HDFC BANK LTD/995449991381/MutualFund/Transfer,1910.13,DR
30-11-2023,UPI/paytmqr6cu3by@p/Payment for 464/AIRTEL PAYMENTS/980663877845/PPPLym60e7wvftg3yok2,1914.3,DR
30-11-2023,UPI/blinkit.payu@hd/Payment for 359/YES BANK LIMITE/812501167707/PPPL4pin2tehd3bzk5db,671.87,DR
30-11-2023,UPI/paytmqr6cu3by@p/UPIIntent/ICICI BANK/283402517581/PPPL6821772609065XXXXXXXXXX,4509.59,DR
30-11-2023,UPI/swiggyupi@axb/Payment for 897/AXIS BANK/515382535822/ICInovmde36u2cmljux,2114.33,DR
30-11-2023,UPI/gpay-1124412000/Payment from Ph/AXIS BANK/779275377907/YBLwmj710fqnxoryix6,1876.38,DR
30-11-2023,UPI/paytmqr6cu3by@p/UPIIntent/ICICI BANK/431922116871/PPPL2758522032129XXXXXXXXXX,3149.45,DR
30-11-2023,UPI/paytmqr6cu3by@p/Payment for 370/ICICI BANK/005916046433/RBLwc3xse0b03m318uy,1999.19,DR
30-11-2023,NEFT/YES BANK LIMITE/314025881037/HDFC AMC/Transfer,3275.79,DR
30-11-2023,UPI/zeptomarketplac/Payment for 608/AIRTEL PAYMENTS/599840246505/RBL0trnhvfp2rgu7ldb,2272.57,DR
30-11-2023,UPI/swiggyupi@axb/UPIIntent/HDFC BANK LTD/170367292000/PYTM3596984905241XXXXXXXXXX,1346.31,DR
30-11-2023,NEFT/ICICI BANK/107755884237/CRISIL/Transfer,74.91,DR
30-11-2023,NEFT/AXIS BANK/148566681006/ABB Dividend/Transfer,1259.3,DR
30-11-2023,UPI/swiggyupi@axb/UPIIntent/AIRTEL PAYMENTS/047653629209/PYTM8793130636280XXXXXXXXXX,268.74,DR
30-11-2023,UPI/gpay-1124412000/Payment for 211/AIRTEL PAYMENTS/039164794389/ICIjyqy0wbyr84wspft,3589.08,DR
30-11-2023,UPI/swiggyupi@axb/UPIIntent/HDFC BANK LTD/955731086323/PPPL5888621831922XXXXXXXXXX,3918.95,DR
30-11-2023,UPI/zeptomarketplac/Payment from Ph/AIRTEL PAYMENTS/249161564732/RBLr7ssrnfjqkpqpday,1852.7,DR
30-11-2023,UPI/paytmqr6cu3by@p/Payment for 924/AIRTEL PAYMENTS/497659268996/PPPL28r0n5mgxld4ehh0,209.53,DR
30-11-2023,UPI/paytmqr6cu3by@p/Payment for 258/YES BANK LIMITE/233266639453/ICI0sxkm731zz7rw52o,2163.04,DR
30-11-2023,UPI/gpay-1124412000/Payment from Ph/AIRTEL PAYMENTS/095849293881/AXLipljf4hf3xbaivb2,4886.48,DR
30-11-2023,UPI/paytmqr6cu3by@p/Payment from Ph/AIRTEL PAYMENTS/096437685561/PPPLuofi7lwdvfiidvkt,59.59,DR
30-11-2023,UPI/paytmqr6cu3by@p/Payment from Ph/YES BANK LIMITE/083425871208/YBLt5hsyh1y13jshhhk,901.24,DR
30-11-2023,UPI/gpay-1124412000/UPIIntent/YES BANK LIMITE/925538962839/PYTM7543693975195XXXXXXXXXX,161.63,DR
30-11-2023,UPI/swiggyupi@axb/Payment for 412/AXIS BANK/697588994975/RBL7rfyqd7xibwvop70,1764.14,DR
30-11-2023,NEFT/ICICI BANK/237025101318/Mazagon Dock/Transfer,1517.32,DR
30-11-2023,NEFT/HDFC BANK LTD/965926041451/ABB Dividend/Transfer,4351.53,DR
30-11-2023,UPI/gpay-1124412000/UPIIntent/YES BANK LIMITE/826762084257/PPPL9850715972583XXXXXXXXXX,1743.69,DR
30-11-2023,UPI/paytmqr6cu3by@p/Payment from Ph/AIRTEL PAYMENTS/849983813685/RBL4dtnrtits7zhzl3b,3642.12,DR
30-11-2023,NEFT/HDFC BANK LTD/812046656129/CRISIL/Transfer,122.77,DR
30-11-2023,UPI/zeptomarketplac/Payment for 390/HDFC BANK LTD/915537459362/YBLmgsrtdy0dmzf2r4t,2263.88,DR
30-11-2023,UPI/gpay-1124412000/UPIIntent/YES BANK LIMITE/705550466687/PYTM3735147993876XXXXXXXXXX,3302.94,DR
30-11-2023,UPI/paytmqr6cu3by@p/Payment from Ph/HDFC BANK LTD/416892133257/ICIil1m5e050tjzu5yg,1152.71,DR
30-11-2023,UPI/swiggyupi@axb/Payment for 108/HDFC BANK LTD/786197857894/AXLf4w4j4y7q7bacd55,783.81,DR
30-11-2023,NEFT/ICICI BANK/690087125788/Zerodha/Transfer,2427.66,DR
30-11-2023,UPI/swiggyupi@axb/UPIIntent/YES BANK LIMITE/822085594383/PYTM5004031134465XXXXXXXXXX,1957.84,DR
30-11-2023,NEFT/HDFC BANK LTD/906221309736/Mazagon Dock/Transfer,268.78,DR
30-11-2023,ACH/Mazagon Dock 4352/PR6278130AI07,5056.57,CR
30-11-2023,NEFT/ICICI BANK/310204569978/Mazagon Dock/Transfer,2681.53,DR
30-11-2023,UPI/zeptomarketplac/Payment from Ph/AXIS BANK/829955851135/ICI6e9uzf54ly31sw03,1860.31,DR
30-11-2023,UPI/zeptomarketplac/Payment from Ph/ICICI BANK/047903725681/YBLzgazz8bkm2aenre2,1031.74,DR
30-11-2023,ACH/CRISIL 1949/PR9146550AI07,7153.7,CR
30-11-2023,UPI/zeptomarketplac/Payment from Ph/AIRTEL PAYMENTS/858838588111/PPPLncfo9p9eefd262zi,2171.7,DR
30-11-2023,ACH/CRISIL 6151/PR7067144AI07,24198.83,CR
30-11-2023,NEFT/ICICI BANK/867215822315/HDFC AMC/Transfer,2092.56,DR
30-11-2023,UPI/paytmqr6cu3by@p/UPIIntent/AIRTEL PAYMENTS/753529331137/PYTM6803199331125XXXXXXXXXX,639.22,DR
30-11-2023,UPI/swiggyupi@axb/UPIIntent/AIRTEL PAYMENTS/318973642810/PYTM9659132736946XXXXXXXXXX,4305.44,DR
30-11-2023,UPI/paytmqr6cu3by@p/UPIIntent/AIRTEL PAYMENTS/425187406660/PPPL3606977290663XXXXXXXXXX,645.92,DR
30-11-2023,NEFT-PPPL459286044141-Zerodha-A/C-4g5if7cgoi0sle9w-00459286044141-YESB,24250.67,CR
30-11-2023,UPI/paytmqr6cu3by@p/UPIIntent/AIRTEL PAYMENTS/127664705301/PPPL7565386573257XXXXXXXXXX,1157.91,DR
30-11-2023,NEFT/AXIS BANK/028868991255/Mazagon Dock/Transfer,1204.93,DR
30-11-2023,UPI/swiggyupi@axb/UPIIntent/AXIS BANK/279999074311/PPPL7876406447114XXXXXXXXXX,3508.61,DR
30-11-2023,UPI/blinkit.payu@hd/Payment from Ph/ICICI BANK/695173166075/AXLlv3ohbpdgv6zg96h,228.53,DR
30-11-2023,UPI/swiggyupi@axb/Payment for 863/HDFC BANK LTD/627250841709/RBL0upxb49l7athfv1k,2937.47,DR
30-11-2023,NEFT/AIRTEL PAYMENTS/883274508510/Zerodha/Transfer,2676.59,DR
30-11-2023,UPI/gpay-1124412000/UPIIntent/AIRTEL PAYMENTS/224185912120/PYTM3906156914219XXXXXXXXXX,282.84,DR
30-11-2023,UPI/swiggyupi@axb/Payment from Ph/HDFC BANK LTD/781925248466/PPPLo8pr6fgekslgj0py,244.93,DR
30-11-2023,NEFT/YES BANK LIMITE/316895830831/ABB Dividend/Transfer,3030.57,DR
30-11-2023,UPI/paytmqr6cu3by@p/UPIIntent/AIRTEL PAYMENTS/616821168904/PPPL9727306977041XXXXXXXXXX,4509.38,DR
30-11-2023,UPI/zeptomarketplac/Payment from Ph/YES BANK LIMITE/170027304699/PPPLadffsx1doegn9al3,3628.82,DR
30-11-2023,UPI/swiggyupi@axb/Payment for 813/ICICI BANK/102114372885/YBLoweoj1xr2y6vumtr,2970.66,DR
30-11-2023,NEFT/HDFC BANK LTD/175719820708/HDFC AMC/Transfer,1485.18,DR
30-11-2023,UPI/blinkit.payu@hd/Payment from Ph/HDFC BANK LTD/648816160027/AXLt95hf1hirwpizv0m,4869.57,DR
30-11-2023,NEFT/YES BANK LIMITE/306267974035/HDFC AMC/Transfer,1317.69,DR
30-11-2023,UPI/blinkit.payu@hd/Payment for 214/AXIS BANK/350091731830/PPPLfeadompstlint6zz,2920.41,DR
30-11-2023,UPI/paytmqr6cu3by@p/Payment from Ph/HDFC BANK LTD/531154486505/PPPLy7fdnhrfowjn7lrl,412.18,DR
30-11-2023,UPI/blinkit.payu@hd/Refund from ICICI BANK 052224004051/RBL,28966.29,CR
30-11-2023,UPI/blinkit.payu@hd/Payment for 879/ICICI BANK/864265646364/PPPLjdvbycafgii3zn9u,347.81,DR
30-11-2023,UPI/blinkit.payu@hd/UPIIntent/AIRTEL PAYMENTS/196249457027/PYTM7366711335283XXXXXXXXXX,4229.96,DR
30-11-2023,UPI/swiggyupi@axb/UPIIntent/ICICI BANK/957105979188/PYTM6201975310998XXXXXXXXXX,4917.4,DR
30-11-2023,NEFT/AIRTEL PAYMENTS/569336674807/MutualFund/Transfer,2870.19,DR
30-11-2023,UPI/gpay-1124412000/Refund from HDFC BANK LTD 020740522359/ICI,24233.3,CR
29-11-2023,UPI/zeptomarketplac/Payment from Ph/AIRTEL PAYMENTS/718282011103/ICIlh1eix1us93d2uex,4027.62,DR
29-11-2023,UPI/paytmqr6cu3by@p/Payment for 953/ICICI BANK/540817329083/AXL7ze9ntnzf72hxgv3,426.7,DR
29-11-2023,UPI/zeptomarketplac/Payment from Ph/YES BANK LIMITE/374371749180/RBL689rb3yp5ev04b81,2267.03,DR
29-11-2023,NEFT/AIRTEL PAYMENTS/434094601847/HDFC AMC/Transfer,464.52,DR
29-11-2023,NEFT-PPPL438067756166-MutualFund-A/C-4erfzakc0we82uco-00438067756166-YESB,25268.77,CR
29-11-2023,UPI/swiggyupi@axb/UPIIntent/ICICI BANK/924124494549/PYTM1575207446483XXXXXXXXXX,4538.12,DR
29-11-2023,UPI/blinkit.payu@hd/UPIIntent/AXIS BANK/120238107993/PYTM5291377684489XXXXXXXXXX,177.05,DR
29-11-2023,UPI/swiggyupi@axb/Payment from Ph/ICICI BANK/935885883889/ICIe5p0gw5j3bk8um2f,4747.07,DR
29-11-2023,UPI/blinkit.payu@hd/UPIIntent/HDFC BANK LTD/506659057249/PPPL9603639026568XXXXXXXXXX,4479.4,DR
29-11-2023,UPI/swiggyupi@axb/UPIIntent/YES BANK LIMITE/993478007869/PPPL5553696076413XXXXXXXXXX,2651.72,DR
29-11-2023,UPI/swiggyupi@axb/UPIIntent/AXIS BANK/015948695437/PPPL7145405416564XXXXXXXXXX,407.31,DR
29-11-2023,UPI/paytmqr6cu3by@p/UPIIntent/HDFC BANK LTD/780244264141/PPPL1470500788126XXXXXXXXXX,4238.49,DR
29-11-2023,UPI/swiggyupi@axb/Payment from Ph/ICICI BANK/911398769542/PPPLnft9z9wov3wuqgra,3099.81,DR
