Date,Description,Amount,Type
31-12-2022,UPI/zeptomarketplac/Payment from Ph/HDFC BANK LTD/759433128696/ICIrplye1bpm1913rd3,3319.75,DR
31-12-2022,ACH/Mazagon Dock 1163/PR7223133AI07,16585.71,CR
31-12-2022,UPI/blinkit.payu@hd/UPIIntent/YES BANK LIMITE/385397999721/PPPL6167948831151XXXXXXXXXX,2039.1,DR
31-12-2022,NEFT/ICICI BANK/424676993566/MutualFund/Transfer,715.09,DR
31-12-2022,UPI/swiggyupi@axb/UPIIntent/AXIS BANK/354241488329/PPPL3810198714604XXXXXXXXXX,2419.02,DR
31-12-2022,UPI/paytmqr6cu3by@p/UPIIntent/AXIS BANK/570211227052/PPPL3357188863034XXXXXXXXXX,2572.65,DR
31-12-2022,NEFT/AIRTEL PAYMENTS/829695391043/Mazagon Dock/Transfer,4860.07,DR
31-12-2022,UPI/gpay-1124412000/UPIIntent/ICICI BANK/431895595644/PPPL3182450173798XXXXXXXXXX,3320.5,DR
31-12-2022,UPI/gpay-1124412000/Payment from Ph/ICICI BANK/014938142106/RBLqxzhmntg3j9h9h6z,281.71,DR
31-12-2022,UPI/blinkit.payu@hd/Payment from Ph/YES BANK LIMITE/658185827908/PPPL26b5mmwrnc515tby,1113.35,DR
31-12-2022,UPI/paytmqr6cu3by@p/Payment from Ph/HDFC BANK LTD/624305816464/ICIt37nxrfbzgfndycb,2590.0,DR
31-12-2022,UPI/blinkit.payu@hd/UPIIntent/AXIS BANK/733845754433/PYTM9165671772857XXXXXXXXXX,3475.09,DR
31-12-2022,UPI/gpay-1124412000/Payment from Ph/AXIS BANK/392795826075/YBLt1bpeta5yxjpshxm,3102.73,DR
31-12-2022,ACH/Mazagon Dock 8364/PR7972356AI07,8992.59,CR
31-12-2022,UPI/blinkit.payu@hd/UPIIntent/AIRTEL PAYMENTS/525887925200/PYTM6351654995827XXXXXXXXXX,87.27,DR
31-12-2022,UPI/zeptomarketplac/Payment for 843/ICICI BANK/053038392818/AXLnmllcq340ht6tbu8,216.54,DR
31-12-2022,UPI/gpay-1124412000/Payment from Ph/YES BANK LIMITE/986512382888/PPPLdibznhi07nng1hav,444.28,DR
31-12-2022,UPI/zeptomarketplac/Payment for 402/AXIS BANK/981226778728/YBL23rhziij12glot7j,4214.68,DR
31-12-2022,UPI/blinkit.payu@hd/Payment from Ph/AIRTEL PAYMENTS/038105617016/AXLngj5v1vf05d2wbx7,1047.56,DR
31-12-2022,UPI/paytmqr6cu3by@p/Refund from AXIS BANK 195255079779/RBL,21154.33,CR
31-12-2022,UPI/paytmqr6cu3by@p/Payment for 474/YES BANK LIMITE/762738718110/PPPLs4q3rqtz42eviuyd,4147.52,DR
31-12-2022,UPI/swiggyupi@axb/UPIIntent/AXIS BANK/347355562547/PYTM6280523522875XXXXXXXXXX,4547.47,DR
31-12-2022,UPI/swiggyupi@axb/UPIIntent/HDFC BANK LTD/716242505640/PYTM1494182427386XXXXXXXXXX,1045.55,DR
31-12-2022,UPI/gpay-1124412000/Payment for 473/HDFC BANK LTD/236930061671/AXLun79z038bggqd2g5,2123.64,DR
31-12-2022,UPI/zeptomarketplac/Payment from Ph/AIRTEL PAYMENTS/859472008494/PPPLhxgjv8kya6g99vfy,844.63,DR
31-12-2022,UPI/blinkit.payu@hd/UPIIntent/AIRTEL PAYMENTS/233098233322/PYTM5590601731369XXXXXXXXXX,2561.35,DR
31-12-2022,UPI/blinkit.payu@hd/Payment for 914/AIRTEL PAYMENTS/285651209475/AXLzsj8zsjkqnln8x3r,1443.36,DR
31-12-2022,NEFT/YES BANK LIMITE/929716987568/CRISIL/Transfer,284.05,DR
31-12-2022,NEFT/ICICI BANK/165509281993/Mazagon Dock/Transfer,3435.92,DR
31-12-2022,ACH/MutualFund 8260/PR4930219AI07,15509.42,CR
31-12-2022,UPI/swiggyupi@axb/Payment for 645/AXIS BANK/847364320194/YBLehwxww3tkbh3pyqr,3021.73,DR
31-12-2022,UPI/gpay-1124412000/Payment from Ph/HDFC BANK LTD/880772758035/YBLq5tlkqgkicqgh47g,4859.48,DR
31-12-2022,NEFT/YES BANK LIMITE/812179072591/HDFC AMC/Transfer,1710.91,DR
31-12-2022,ACH/MutualFund 9807/PR1008689AI07,16245.84,CR
31-12-2022,NEFT/HDFC BANK LTD/859570720690/Mazagon Dock/Transfer,3335.11,DR
31-12-2022,UPI/paytmqr6cu3by@p/Payment from Ph/AXIS BANK/928048142422/ICIbik9ep1ntluztm2l,4418.61,DR
