Date,Description,Amount,Type
31-10-2022,UPI/blinkit.payu@hd/Payment from Ph/HDFC BANK LTD/321525780458/RBLo78jik5r4vl2i2zw,4844.94,DR
31-10-2022,NEFT-PPPL413239620241-Zerodha-A/C-94vhtlz3rl93be78-00413239620241-YESB,9564.95,CR
31-10-2022,UPI/swiggyupi@axb/UPIIntent/ICICI BANK/473572323255/PPPL3105280487198XXXXXXXXXX,3754.74,DR
31-10-2022,NEFT/AXIS BANK/104045793733/HDFC AMC/Transfer,3462.2,DR
31-10-2022,NEFT/ICICI BANK/899854654267/ABB Dividend/Transfer,2550.51,DR
31-10-2022,NEFT/AIRTEL PAYMENTS/980995199805/Zerodha/Transfer,2339.49,DR
31-10-2022,UPI/swiggyupi@axb/UPIIntent/AXIS BANK/497268879831/PPPL3239094631447XXXXXXXXXX,1110.24,DR
31-10-2022,NEFT/YES BANK LIMITE/698678891375/CRISIL/Transfer,2930.84,DR
31-10-2022,UPI/swiggyupi@axb/Payment for 433/AXIS BANK/172491554322/RBL5ogtgqk635uqtkxs,4984.48,DR
31-10-2022,UPI/zeptomarketplac/UPIIntent/ICICI BANK/525355785104/PPPL7369414147032XXXXXXXXXX,2715.6,DR
31-10-2022,UPI/zeptomarketplac/Payment from Ph/ICICI BANK/606721973413/RBLnujzu7owwzlskx4f,4865.57,DR
31-10-2022,NEFT/ICICI BANK/354516752652/Zerodha/Transfer,1001.71,DR
31-10-2022,UPI/paytmqr6cu3by@p/UPIIntent/HDFC BANK LTD/451332148098/PYTM7345558674715XXXXXXXXXX,4700.4,DR
31-10-2022,UPI/paytmqr6cu3by@p/Payment for 181/YES BANK LIMITE/693694903349/AXLieqrgxcrmgmx0lpv,1967.08,DR
31-10-2022,NEFT/AXIS BANK/237771442838/Mazagon Dock/Transfer,3452.65,DR
31-10-2022,UPI/blinkit.payu@hd/UPIIntent/HDFC BANK LTD/184569906075/PPPL9441572326708XXXXXXXXXX,2179.73,DR
31-10-2022,ACH/ABB Dividend 1175/PR4491177AI07,28503.35,CR
31-10-2022,UPI/paytmqr6cu3by@p/Payment from Ph/HDFC BANK LTD/460665906853/RBL1o4yxs3bsyimp7z5,1155.35,DR
31-10-2022,UPI/gpay-1124412000/Payment for 958/YES BANK LIMITE/013399008978/RBLfg5f5kwzd6fyr7l8,2119.76,DR
31-10-2022,NEFT/YES BANK LIMITE/506118289761/HDFC AMC/Transfer,2218.5,DR
31-10-2022,UPI/blinkit.payu@hd/Payment for 992/YES BANK LIMITE/258847082519/RBLhzyj7l1kyb06kz8j,2706.36,DR
31-10-2022,UPI/blinkit.payu@hd/UPIIntent/ICICI BANK/451036909738/PYTM2525614766106XXXXXXXXXX,2661.84,DR
31-10-2022,UPI/paytmqr6cu3by@p/Refund from AXIS BANK 258469291986/ICI,27059.66,CR
31-10-2022,NEFT/ICICI BANK/672061245065/Mazagon Dock/Transfer,996.03,DR
31-10-2022,NEFT/YES BANK LIMITE/788010153460/MutualFund/Transfer,713.25,DR
31-10-2022,UPI/gpay-1124412000/Payment from Ph/AXIS BANK/038209301346/RBL375xbqs2jesk9cbk,2505.86,DR
31-10-2022,UPI/swiggyupi@axb/Payment from Ph/ICICI BANK/500972449783/RBLpev6ur55kwyjyhu4,585.65,DR
31-10-2022,UPI/gpay-1124412000/UPIIntent/AXIS BANK/950847684899/PPPL4887361327120XXXXXXXXXX,83.33,DR
31-10-2022,NEFT/YES BANK LIMITE/285368250810/Mazagon Dock/Transfer,52.95,DR
31-10-2022,NEFT/HDFC BANK LTD/338797920652/MutualFund/Transfer,2896.75,DR
31-10-2022,ACH/MutualFund 7047/PR9277855AI07,2789.97,CR
31-10-2022,NEFT/AIRTEL PAYMENTS/039338070178/Zerodha/Transfer,4835.7,DR
31-10-2022,UPI/swiggyupi@axb/UPIIntent/YES BANK LIMITE/186196714926/PPPL9322390800032XXXXXXXXXX,107.2,DR
31-10-2022,UPI/swiggyupi@axb/Payment from Ph/AXIS BANK/441024018964/AXLuluq3r7krhbul9gq,804.86,DR
31-10-2022,UPI/swiggyupi@axb/UPIIntent/ICICI BANK/170409615504/PYTM8980176859692XXXXXXXXXX,3447.5,DR
31-10-2022,UPI/paytmqr6cu3by@p/Payment from Ph/AXIS BANK/899545536555/PPPLwy9uyzrjexiyp015,2234.37,DR
31-10-2022,UPI/gpay-1124412000/Payment from Ph/AIRTEL PAYMENTS/960977947013/RBLw8fcg8yb6motmsps,1300.35,DR
31-10-2022,UPI/paytmqr6cu3by@p/UPIIntent/YES BANK LIMITE/998896426958/PPPL4120938639561XXXXXXXXXX,4526.27,DR
31-10-2022,UPI/swiggyupi@axb/UPIIntent/AIRTEL PAYMENTS/330749474891/PYTM6199244300566XXXXXXXXXX,3884.47,DR
31-10-2022,UPI/blinkit.payu@hd/Payment for 659/YES BANK LIMITE/277135994866/PPPLo97f260y1o3j9awq,1554.66,DR
31-10-2022,NEFT/YES BANK LIMITE/577120712403/MutualFund/Transfer,4110.49,DR
31-10-2022,NEFT/YES BANK LIMITE/611698467986/CRISIL/Transfer,3066.82,DR
31-10-2022,UPI/paytmqr6cu3by@p/Payment from Ph/ICICI BANK/539797930866/ICI1cw0g0c1zr9lk1p8,4969.56,DR
31-10-2022,UPI/gpay-1124412000/UPIIntent/ICICI BANK/439287446485/PPPL5324650213851XXXXXXXXXX,4898.88,DR
31-10-2022,UPI/zeptomarketplac/UPIIntent/YES BANK LIMITE/788453645872/PYTM8747120265232XXXXXXXXXX,1140.59,DR
31-10-2022,UPI/zeptomarketplac/Payment from Ph/HDFC BANK LTD/093626938140/PPPLhdgk25fvdh5h35kn,1009.99,DR
31-10-2022,NEFT/HDFC BANK LTD/778587852309/CRISIL/Transfer,3620.6,DR
31-10-2022,UPI/swiggyupi@axb/Payment for 792/HDFC BANK LTD/467105289260/RBLb0y7t7ydtkqvdxbh,4521.1,DR
31-10-2022,UPI/swiggyupi@axb/Payment for 812/HDFC BANK LTD/349177372004/ICIk79dlb3pkrg6ai8k,2940.06,DR
31-10-2022,UPI/blinkit.payu@hd/UPIIntent/AIRTEL PAYMENTS/005792146184/PPPL9946666056089XXXXXXXXXX,4154.93,DR
31-10-2022,UPI/paytmqr6cu3by@p/Payment from Ph/YES BANK LIMITE/861810659244/ICI64v7u57sn8640a85,3312.51,DR
31-10-2022,UPI/blinkit.payu@hd/Payment from Ph/AXIS BANK/305103564386/ICI6b03dt6cs21glhp9,4150.27,DR
31-10-2022,UPI/paytmqr6cu3by@p/Payment from Ph/HDFC BANK LTD/755219972386/PPPLilb5zdfgb9smpr6r,1036.51,DR
31-10-2022,UPI/zeptomarketplac/Payment from Ph/AIRTEL PAYMENTS/056533924604/AXL0n82gqi6jrez7jmv,4192.18,DR
31-10-2022,NEFT/ICICI BANK/609418610897/Mazagon Dock/Transfer,1887.93,DR
31-10-2022,UPI/zeptomarketplac/Payment from Ph/HDFC BANK LTD/676257475851/RBL3utatl2bwjbrbnsy,1371.71,DR
31-10-2022,UPI/blinkit.payu@hd/UPIIntent/AIRTEL PAYMENTS/815134298651/PYTM5190205862097XXXXXXXXXX,4381.71,DR
31-10-2022,UPI/swiggyupi@axb/UPIIntent/ICICI BANK/482209310702/PPPL4994114350794XXXXXXXXXX,977.12,DR
31-10-2022,ACH/Mazagon Dock 7386/PR2957826AI07,23869.65,CR
31-10-2022,UPI/gpay-1124412000/Payment for 824/AIRTEL PAYMENTS/976662359347/RBLaov139r0r4syfi3p,1168.23,DR
31-10-2022,NEFT/AIRTEL PAYMENTS/842057606744/CRISIL/Transfer,2001.79,DR
31-10-2022,UPI/blinkit.payu@hd/UPIIntent/AIRTEL PAYMENTS/390317452472/PYTM5805432918986XXXXXXXXXX,3910.08,DR
