Date,Description,Amount,Type
30-04-2022,NEFT/YES BANK LIMITE/330009785104/MutualFund/Transfer,4487.65,DR
30-04-2022,UPI/paytmqr6cu3by@p/UPIIntent/HDFC BANK LTD/768379962494/PPPL9761411154972XXXXXXXXXX,1560.71,DR
30-04-2022,NEFT/AXIS BANK/916889152150/MutualFund/Transfer,1445.4,DR
30-04-2022,UPI/paytmqr6cu3by@p/Payment for 885/AXIS BANK/118981591167/RBL45oo2ddi5295fpc0,391.52,DR
30-04-2022,UPI/gpay-1124412000/Payment for 770/YES BANK LIMITE/618315610462/AXL6w07c64uuz4d9p6g,3737.86,DR
30-04-2022,UPI/blinkit.payu@hd/Payment for 869/YES BANK LIMITE/700623028779/ICIfrn3gmj6udwn3gkl,1254.52,DR
30-04-2022,UPI/gpay-1124412000/UPIIntent/YES BANK LIMITE/422071252500/PPPL5412470495517XXXXXXXXXX,2999.8,DR
30-04-2022,UPI/paytmqr6cu3by@p/Payment from Ph/ICICI BANK/364177705066/ICIqfghto9sxo4o4875,3550.75,DR
30-04-2022,UPI/paytmqr6cu3by@p/Payment for 644/AXIS BANK/610369768277/PPPLiyc031gzh3qrq0h6,1400.36,DR
30-04-2022,UPI/gpay-1124412000/Payment for 730/AXIS BANK/467628903058/PPPLrt4klggog4192o9p,657.43,DR
30-04-2022,UPI/swiggyupi@axb/UPIIntent/HDFC BANK LTD/393227410274/PPPL9789393920981XXXXXXXXXX,1821.33,DR
30-04-2022,UPI/blinkit.payu@hd/Payment for 747/YES BANK LIMITE/104800752052/PPPLz021wqa0goe0pg2e,789.72,DR
30-04-2022,UPI/gpay-1124412000/Payment for 671/AXIS BANK/935525483797/ICIs87c4r3h86gcokah,4363.95,DR
30-04-2022,ACH/HDFC AMC 6103/PR9347212AI07,5118.03,CR
30-04-2022,NEFT/YES BANK LIMITE/909831848492/ABB Dividend/Transfer,769.34,DR
30-04-2022,UPI/zeptomarketplac/Payment from Ph/AIRTEL PAYMENTS/216434543126/AXLi9x85rcx6jmcehfc,2356.69,DR
30-04-2022,UPI/zeptomarketplac/UPIIntent/AIRTEL PAYMENTS/351102351792/PYTM3231653791010XXXXXXXXXX,2949.02,DR
30-04-2022,UPI/swiggyupi@axb/Payment for 581/AIRTEL PAYMENTS/475871133407/RBLgd2njh6o9jcgsud8,1274.34,DR
30-04-2022,NEFT/YES BANK LIMITE/373671592700/Zerodha/Transfer,1740.76,DR
30-04-2022,UPI/blinkit.payu@hd/Payment for 326/ICICI BANK/618597654036/AXLska4xywunrt5nkz3,2808.73,DR
30-04-2022,UPI/blinkit.payu@hd/Payment for 516/YES BANK LIMITE/775143469610/ICIg26fyba249umba5v,218.12,DR
30-04-2022,UPI/blinkit.payu@hd/Payment for 672/AXIS BANK/715597414108/PPPLftyjrj3soyiuuq66,278.07,DR
30-04-2022,UPI/swiggyupi@axb/Payment for 348/ICICI BANK/664229348920/ICIlsg1dxe32ff22dwf,2090.64,DR
30-04-2022,UPI/swiggyupi@axb/Refund from AXIS BANK 795796932442/PPPL,27084.59,CR
30-04-2022,UPI/zeptomarketplac/UPIIntent/YES BANK LIMITE/525181569915/PPPL1459597969689XXXXXXXXXX,4557.31,DR
30-04-2022,UPI/paytmqr6cu3by@p/UPIIntent/AXIS BANK/197607557782/PYTM9773757919353XXXXXXXXXX,1757.61,DR
30-04-2022,UPI/paytmqr6cu3by@p/Payment from Ph/HDFC BANK LTD/676787510249/AXLuqgxf86f6yhhjnqi,1780.25,DR
30-04-2022,UPI/zeptomarketplac/Payment for 250/ICICI BANK/967413855985/RBLa63xo2xm2f3abm5q,1389.87,DR
30-04-2022,NEFT/AIRTEL PAYMENTS/487726587124/Zerodha/Transfer,2720.63,DR
30-04-2022,UPI/blinkit.payu@hd/UPIIntent/HDFC BANK LTD/738711342542/PYTM4703462671355XXXXXXXXXX,2449.5,DR
30-04-2022,UPI/blinkit.payu@hd/Payment from Ph/AXIS BANK/897610248028/YBLiyk36yfnjbgli2ob,2047.05,DR
30-04-2022,UPI/blinkit.payu@hd/UPIIntent/YES BANK LIMITE/734984571502/PYTM1702476084804XXXXXXXXXX,4550.91,DR
30-04-2022,UPI/swiggyupi@axb/Payment for 540/YES BANK LIMITE/904579458050/AXLa02n692bw66x809t,135.65,DR
30-04-2022,UPI/swiggyupi@axb/Payment from Ph/YES BANK LIMITE/439574831212/RBLeyj8dqvy08xzvjoa,4921.05,DR
30-04-2022,UPI/paytmqr6cu3by@p/Payment for 909/AXIS BANK/865604427656/PPPLupw55ntu4uswd8zc,1453.81,DR
30-04-2022,NEFT-PPPL606664937427-CRISIL-A/C-65pdlu5uobxxc3mn-00606664937427-YESB,8271.45,CR
30-04-2022,UPI/zeptomarketplac/Payment from Ph/YES BANK LIMITE/595390306209/AXLn3sz6fj00rcefszk,3256.83,DR
30-04-2022,UPI/zeptomarketplac/UPIIntent/YES BANK LIMITE/955153948245/PYTM2974914767816XXXXXXXXXX,1437.14,DR
30-04-2022,UPI/zeptomarketplac/Payment from Ph/AXIS BANK/806245341447/ICI39lz5vb3fnif38kg,3455.66,DR
30-04-2022,UPI/zeptomarketplac/Payment from Ph/ICICI BANK/764216231373/YBLzmj41k2k9u3gxpuj,1213.67,DR
30-04-2022,UPI/swiggyupi@axb/Payment for 157/ICICI BANK/460096085604/ICIa53jo1zh7fustp78,1280.74,DR
30-04-2022,NEFT-ICI078987841451-MutualFund-A/C-z8nqv7h2d08gdmku-00078987841451-YESB,13564.39,CR
30-04-2022,UPI/paytmqr6cu3by@p/Payment for 355/AIRTEL PAYMENTS/417766537590/YBLe9kh36vz3jhcxalr,3078.86,DR
30-04-2022,UPI/zeptomarketplac/UPIIntent/ICICI BANK/436610994806/PYTM2819298090326XXXXXXXXXX,4171.49,DR
30-04-2022,NEFT-AXL050111921927-Mazagon Dock-A/C-onqwlhqlds69qr4j-00050111921927-YESB,24823.98,CR
30-04-2022,ACH/Mazagon Dock 2512/PR2907242AI07,25833.03,CR
30-04-2022,UPI/blinkit.payu@hd/Payment for 107/ICICI BANK/567170722930/PPPL10i7t88zoyjbbk0q,1979.18,DR
30-04-2022,UPI/blinkit.payu@hd/Payment from Ph/AIRTEL PAYMENTS/776977020438/RBL80yt63yqqyobm57m,4788.64,DR
30-04-2022,UPI/zeptomarketplac/UPIIntent/AIRTEL PAYMENTS/734890420678/PYTM3849247590944XXXXXXXXXX,3133.33,DR
30-04-2022,UPI/swiggyupi@axb/Payment from Ph/HDFC BANK LTD/830845424007/PPPLmc9sl6tymca55pp7,3236.62,DR
30-04-2022,UPI/blinkit.payu@hd/Payment from Ph/YES BANK LIMITE/511278549303/PPPLn2ca81bub5pgxoto,1982.91,DR
30-04-2022,UPI/paytmqr6cu3by@p/Payment from Ph/YES BANK LIMITE/061128099593/AXLm7eq2y2sty09mh70,3331.81,DR
30-04-2022,UPI/paytmqr6cu3by@p/UPIIntent/HDFC BANK LTD/245909872347/PPPL4795771263306XXXXXXXXXX,2425.86,DR
30-04-2022,NEFT/AIRTEL PAYMENTS/416710030547/Mazagon Dock/Transfer,2409.95,DR
30-04-2022,UPI/swiggyupi@axb/Payment from Ph/AXIS BANK/959063379100/PPPLjhxm4ip4fqi7j3as,1074.87,DR
30-04-2022,UPI/paytmqr6cu3by@p/UPIIntent/ICICI BANK/544589265966/PYTM8237446839705XXXXXXXXXX,2504.27,DR
30-04-2022,UPI/swiggyupi@axb/Payment for 686/AXIS BANK/666765360828/PPPL8dglq9b5xhv49h2d,2691.95,DR
30-04-2022,NEFT/YES BANK LIMITE/831536304803/ABB Dividend/Transfer,2898.48,DR
30-04-2022,NEFT/ICICI BANK/405049403356/MutualFund/Transfer,3555.14,DR
30-04-2022,UPI/paytmqr6cu3by@p/Payment for 480/HDFC BANK LTD/874728268576/AXLqujzx6y74hai4lii,792.53,DR
30-04-2022,UPI/blinkit.payu@hd/Refund from YES BANK LIMITE 941845114742/RBL,4415.66,CR
30-04-2022,UPI/zeptomarketplac/UPIIntent/ICICI BANK/233313494814/PPPL6611673066651XXXXXXXXXX,3147.22,DR
30-04-2022,UPI/blinkit.payu@hd/Payment for 305/ICICI BANK/359891008070/YBL1ifjnvh8fsaz60zh,4887.31,DR
30-04-2022,NEFT/HDFC BANK LTD/417073613964/CRISIL/Transfer,536.91,DR
30-04-2022,UPI/zeptomarketplac/Payment from Ph/ICICI BANK/859309018473/ICIj8abr3tl4ugg277i,2010.22,DR
30-04-2022,UPI/gpay-1124412000/Payment for 174/ICICI BANK/942688696642/AXL4aw0qmnbnrs1dc2e,4886.99,DR
30-04-2022,NEFT/YES BANK LIMITE/630218377110/MutualFund/Transfer,4705.23,DR
30-04-2022,UPI/swiggyupi@axb/Payment from Ph/AIRTEL PAYMENTS/010072830186/PPPLe82aye8tqysng4yi,2915.12,DR
30-04-2022,UPI/gpay-1124412000/UPIIntent/AXIS BANK/861900429837/PYTM7387940168854XXXXXXXXXX,1696.97,DR
30-04-2022,UPI/swiggyupi@axb/Refund from YES BANK LIMITE 362455495017/YBL,29458.76,CR
