Date,Description,Amount,Type
31-01-2022,UPI/swiggyupi@axb/Payment for 985/AXIS BANK/078422108467/PPPLusbvdg5oaq3gwfxz,1075.33,DR
31-01-2022,UPI/swiggyupi@axb/Payment for 280/ICICI BANK/302022644260/RBLdflcmxqxne8ehh14,4504.97,DR
31-01-2022,NEFT-ICI218540005565-Zerodha-A/C-mrlybj2o0cegwgr1-00218540005565-YESB,11267.87,CR
31-01-2022,NEFT/YES BANK LIMITE/765170629341/Mazagon Dock/Transfer,1643.83,DR
31-01-2022,NEFT/AXIS BANK/422738371926/HDFC AMC/Transfer,2140.56,DR
31-01-2022,NEFT/YES BANK LIMITE/606419168136/CRISIL/Transfer,1867.74,DR
31-01-2022,UPI/gpay-1124412000/UPIIntent/AIRTEL PAYMENTS/087250166077/PPPL7246310581135XXXXXXXXXX,1445.05,DR
31-01-2022,UPI/blinkit.payu@hd/Payment from Ph/AIRTEL PAYMENTS/134909234820/ICI806w8qc2csvad2pl,557.95,DR
31-01-2022,UPI/blinkit.payu@hd/Refund from AIRTEL PAYMENTS 377282690401/AXL,7430.11,CR
31-01-2022,UPI/gpay-1124412000/Payment from Ph/HDFC BANK LTD/206981904417/AXLy6zbq3dlepaz3l2j,3817.1,DR
31-01-2022,NEFT/AIRTEL PAYMENTS/537993712055/Mazagon Dock/Transfer,3885.04,DR
31-01-2022,UPI/swiggyupi@axb/Payment from Ph/AXIS BANK/853082740326/YBLr84pd87fm2m65ns0,456.96,DR
31-01-2022,UPI/paytmqr6cu3by@p/UPIIntent/ICICI BANK/455404556713/PYTM6238633212583XXXXXXXXXX,3597.83,DR
31-01-2022,NEFT-AXL302737002034-CRISIL-A/C-8e0de3090zsr32gi-00302737002034-YESB,13181.14,CR
31-01-2022,NEFT/AIRTEL PAYMENTS/137951725010/CRISIL/Transfer,2516.71,DR
31-01-2022,ACH/CRISIL 6986/PR9308817AI07,11108.41,CR
31-01-2022,NEFT-RBL042519267292-Zerodha-A/C-sctu8tz4w7glfx7d-00042519267292-YESB,3286.56,CR
31-01-2022,UPI/gpay-1124412000/Payment from Ph/AIRTEL PAYMENTS/523969731996/AXLwa5llmf1pmxq3zh0,4992.08,DR
31-01-2022,ACH/ABB Dividend 3698/PR6892312AI07,7458.8,CR
31-01-2022,UPI/swiggyupi@axb/Payment for 853/ICICI BANK/925664598729/YBLewu2gouqttsza6or,3219.35,DR
31-01-2022,UPI/gpay-1124412000/Payment from Ph/AIRTEL PAYMENTS/054579919089/YBLpzod7bdq0qjokfyy,3761.34,DR
31-01-2022,NEFT/HDFC BANK LTD/878731975384/Mazagon Dock/Transfer,3965.75,DR
31-01-2022,UPI/gpay-1124412000/Payment for 258/AIRTEL PAYMENTS/526876101813/ICIgcjgkfgfetlr5a02,1171.71,DR
31-01-2022,UPI/swiggyupi@axb/Payment for 704/AIRTEL PAYMENTS/943606085141/YBLm3gb02a2abuho1nf,3987.18,DR
31-01-2022,UPI/zeptomarketplac/Payment from Ph/YES BANK LIMITE/755267757062/AXL3vb2xsap6qhxc4tl,1784.13,DR
31-01-2022,UPI/paytmqr6cu3by@p/Payment for 825/ICICI BANK/985979504443/RBL3419c2d08z7yq8xc,4607.75,DR
31-01-2022,NEFT/AXIS BANK/461905248311/Mazagon Dock/Transfer,3584.54,DR
31-01-2022,UPI/blinkit.payu@hd/Payment from Ph/AXIS BANK/801739990775/PPPL0uo562epbubrvr6i,2874.83,DR
31-01-2022,UPI/zeptomarketplac/UPIIntent/AXIS BANK/716245708147/PPPL8630718608930XXXXXXXXXX,2682.88,DR
31-01-2022,NEFT/ICICI BANK/094111593721/ABB Dividend/Transfer,4068.75,DR
31-01-2022,NEFT/YES BANK LIMITE/952948952184/ABB Dividend/Transfer,1940.25,DR
31-01-2022,UPI/blinkit.payu@hd/Payment from Ph/AIRTEL PAYMENTS/223041793809/RBLivz9zd8lgfbggs54,2133.43,DR
31-01-2022,UPI/paytmqr6cu3by@p/Payment from Ph/HDFC BANK LTD/436462577636/RBL8r6safj8yug5rtib,2281.98,DR
31-01-2022,NEFT/HDFC BANK LTD/693175430098/ABB Dividend/Transfer,4959.57,DR
31-01-2022,UPI/swiggyupi@axb/Payment for 123/YES BANK LIMITE/043015830674/ICI7rstzlcztx9gm06p,1353.4,DR
31-01-2022,UPI/paytmqr6cu3by@p/Payment from Ph/AIRTEL PAYMENTS/970830599160/YBLyafz3ajpt0xzo7is,268.65,DR
31-01-2022,UPI/gpay-1124412000/Payment from Ph/AXIS BANK/865588790551/RBLembkbm77yo3zz7pe,3813.31,DR
31-01-2022,UPI/swiggyupi@axb/Payment for 170/HDFC BANK LTD/862045798507/YBL0xcdyghda868zm05,2019.58,DR
31-01-2022,UPI/swiggyupi@axb/Payment from Ph/HDFC BANK LTD/838732857678/AXLxyltad15ohaocris,4833.22,DR
31-01-2022,UPI/swiggyupi@axb/Payment from Ph/AXIS BANK/785510400643/YBLszhyxzdzpsn3wjyc,4401.25,DR
31-01-2022,UPI/blinkit.payu@hd/Payment for 153/YES BANK LIMITE/993411378938/YBL4omn6a3zruk7kz88,653.96,DR
31-01-2022,UPI/swiggyupi@axb/Payment from Ph/ICICI BANK/150914859855/ICIctm7jor7df0din3q,2723.81,DR
31-01-2022,UPI/gpay-1124412000/Payment from Ph/YES BANK LIMITE/604145606740/ICIu035esoeq6dxhkum,2059.32,DR
31-01-2022,UPI/paytmqr6cu3by@p/Payment from Ph/YES BANK LIMITE/744670752988/RBLsq3nltx098728bbo,4143.22,DR
31-01-2022,NEFT/AIRTEL PAYMENTS/181622032315/MutualFund/Transfer,3389.84,DR
31-01-2022,UPI/paytmqr6cu3by@p/Payment for 207/YES BANK LIMITE/704081244702/AXL11scz4tlky62kh50,3527.74,DR
31-01-2022,ACH/CRISIL 5001/PR1147543AI07,5933.62,CR
31-01-2022,NEFT/YES BANK LIMITE/122182668852/ABB Dividend/Transfer,1349.76,DR
