Date,Description,Amount,Type
30-09-2021,UPI/blinkit.payu@hd/Payment from Ph/HDFC BANK LTD/247746525132/YBLb7z86p6p90jy00sf,1669.05,DR
30-09-2021,UPI/gpay-1124412000/Payment for 597/AIRTEL PAYMENTS/228920819614/ICIj4v4cy0df6x4fjbd,943.63,DR
30-09-2021,ACH/Zerodha 3641/PR4776985AI07,7530.59,CR
30-09-2021,UPI/blinkit.payu@hd/Payment for 799/ICICI BANK/496659433075/PPPLarr0pky8nijki6y0,777.92,DR
30-09-2021,UPI/paytmqr6cu3by@p/UPIIntent/ICICI BANK/083287638332/PPPL7579492300381XXXXXXXXXX,2317.49,DR
30-09-2021,NEFT/AXIS BANK/366502505779/Zerodha/Transfer,3463.4,DR
30-09-2021,ACH/Zerodha 3679/PR2698690AI07,19251.84,CR
30-09-2021,UPI/gpay-1124412000/Payment for 206/AXIS BANK/483368542074/YBLcx19e89jf2n9cy2r,3487.32,DR
30-09-2021,NEFT/ICICI BANK/259107303001/HDFC AMC/Transfer,1394.68,DR
30-09-2021,UPI/gpay-1124412000/Payment from Ph/HDFC BANK LTD/528374597364/AXL9nydl2rkqhe3jnmy,2815.1,DR
30-09-2021,NEFT-PPPL466476905660-HDFC AMC-A/C-eceet3y46s942q94-00466476905660-YESB,21759.42,CR
30-09-2021,UPI/blinkit.payu@hd/Payment from Ph/ICICI BANK/467257579327/RBLvhrj0ofzpcqz4ktn,3528.25,DR
30-09-2021,ACH/Zerodha 7501/PR4864701AI07,10316.19,CR
30-09-2021,UPI/paytmqr6cu3by@p/Payment from Ph/ICICI BANK/580550636189/RBLdkmegbo4684sbrtd,876.43,DR
30-09-2021,UPI/paytmqr6cu3by@p/Payment for 236/ICICI BANK/780652490179/YBLsht1yd7j3i3k3cjs,4123.28,DR
30-09-2021,UPI/zeptomarketplac/UPIIntent/AIRTEL PAYMENTS/496735826963/PYTM5916366468927XXXXXXXXXX,176.51,DR
