Date,Description,Amount,Type
31-07-2021,UPI/blinkit.payu@hd/Payment for 377/HDFC BANK LTD/635800513720/YBL13j6p61qgs688tob,3725.53,DR
31-07-2021,NEFT/HDFC BANK LTD/588469864140/MutualFund/Transfer,1040.12,DR
31-07-2021,UPI/swiggyupi@axb/UPIIntent/YES BANK LIMITE/642955030596/PPPL8331316942561XXXXXXXXXX,1832.0,DR
31-07-2021,UPI/blinkit.payu@hd/Payment from Ph/ICICI BANK/901168344741/ICIzq7lx1gpwvjuamh8,3848.95,DR
31-07-2021,UPI/paytmqr6cu3by@p/Refund from YES BANK LIMITE 748445093738/PPPL,28606.95,CR
31-07-2021,UPI/gpay-1124412000/Refund from HDFC BANK LTD 605145944784/AXL,22984.52,CR
31-07-2021,NEFT/YES BANK LIMITE/559745067004/CRISIL/Transfer,4981.4,DR
31-07-2021,NEFT/AIRTEL PAYMENTS/162245034684/Mazagon Dock/Transfer,4550.2,DR
31-07-2021,UPI/zeptomarketplac/Payment from Ph/YES BANK LIMITE/251330162772/YBL66v0bqrfyybzkosy,1122.28,DR
31-07-2021,UPI/swiggyupi@axb/Payment for 949/ICICI BANK/119364477322/AXL6u950iyn4wbiovwu,2315.99,DR
31-07-2021,UPI/blinkit.payu@hd/Payment for 730/YES BANK LIMITE/569957879664/PPPL7lip25nidigm132j,3308.06,DR
31-07-2021,NEFT/YES BANK LIMITE/393679396145/HDFC AMC/Transfer,3740.97,DR
31-07-2021,NEFT/YES BANK LIMITE/297605436877/HDFC AMC/Transfer,2769.0,DR
31-07-2021,NEFT/YES BANK LIMITE/331874424767/CRISIL/Transfer,2168.25,DR
31-07-2021,ACH/Zerodha 9952/PR1306492AI07,25493.03,CR
31-07-2021,UPI/swiggyupi@axb/UPIIntent/YES BANK LIMITE/066757157760/PPPL8746850260612XXXXXXXXXX,1397.64,DR
31-07-2021,UPI/zeptomarketplac/Payment from Ph/AXIS BANK/566713579248/PPPLr0mfpse93hd8bi3a,3783.24,DR
31-07-2021,UPI/paytmqr6cu3by@p/Payment from Ph/HDFC BANK LTD/714683013226/RBLvwue87017f95wg5v,1067.45,DR
31-07-2021,UPI/gpay-1124412000/Payment for 335/HDFC BANK LTD/295863957055/PPPL9ztpauli3lwstblg,2863.31,DR
31-07-2021,NEFT-ICI251450371465-MutualFund-A/C-dsfixbnaw10g1qes-00251450371465-YESB,18727.47,CR
31-07-2021,UPI/gpay-1124412000/UPIIntent/HDFC BANK LTD/382248145870/PYTM5790744076912XXXXXXXXXX,4369.73,DR
31-07-2021,NEFT/HDFC BANK LTD/559466735447/HDFC AMC/Transfer,2670.78,DR
31-07-2021,UPI/zeptomarketplac/Payment for 134/AIRTEL PAYMENTS/667411972774/YBLax3lye8xhjrrhhzh,3487.43,DR
31-07-2021,UPI/blinkit.payu@hd/UPIIntent/AXIS BANK/476945397785/PPPL7078794782794XXXXXXXXXX,4776.72,DR
31-07-2021,UPI/blinkit.payu@hd/Refund from ICICI BANK 572482938228/ICI,14940.38,CR
31-07-2021,UPI/swiggyupi@axb/UPIIntent/ICICI BANK/544438194691/PYTM3829754538672XXXXXXXXXX,4897.96,DR
31-07-2021,UPI/gpay-1124412000/UPIIntent/YES BANK LIMITE/910792402777/PYTM1043673756178XXXXXXXXXX,1480.51,DR
31-07-2021,NEFT/AXIS BANK/657886603636/MutualFund/Transfer,1845.16,DR
31-07-2021,UPI/blinkit.payu@hd/UPIIntent/AIRTEL PAYMENTS/244006559356/PYTM1070471587579XXXXXXXXXX,1232.02,DR
31-07-2021,UPI/swiggyupi@axb/Payment from Ph/ICICI BANK/476241623183/YBLxxl3y631abf7xzvr,4005.82,DR
31-07-2021,UPI/zeptomarketplac/Payment for 987/AXIS BANK/861535629130/PPPL6pjp3vky0jibf5rh,3953.79,DR
31-07-2021,UPI/swiggyupi@axb/Payment for 714/AXIS BANK/003511688264/AXL6lerbb0p35qkp1w9,4085.14,DR
31-07-2021,UPI/gpay-1124412000/UPIIntent/YES BANK LIMITE/933277519058/PYTM2428226474652XXXXXXXXXX,2220.71,DR
31-07-2021,NEFT/ICICI BANK/902812884797/ABB Dividend/Transfer,1910.15,DR
31-07-2021,UPI/paytmqr6cu3by@p/UPIIntent/AIRTEL PAYMENTS/819244964135/PYTM9165281287193XXXXXXXXXX,2052.93,DR
31-07-2021,UPI/swiggyupi@axb/Payment from Ph/HDFC BANK LTD/650965088757/ICI4tmxg48gb1fuo8rz,3177.73,DR
31-07-2021,UPI/swiggyupi@axb/Payment from Ph/ICICI BANK/918987192348/YBLqtbolrdg2tgqoz4y,4489.23,DR
31-07-2021,UPI/swiggyupi@axb/UPIIntent/AXIS BANK/430700797646/PYTM4821137870500XXXXXXXXXX,2343.44,DR
31-07-2021,UPI/blinkit.payu@hd/Payment for 181/AIRTEL PAYMENTS/918500788572/ICIlntjk7utugwngl2v,4276.94,DR
31-07-2021,NEFT/YES BANK LIMITE/816119303616/MutualFund/Transfer,2627.78,DR
31-07-2021,UPI/gpay-1124412000/Payment for 139/YES BANK LIMITE/569194209629/AXLse051s1ee40zfw5z,615.08,DR
31-07-2021,UPI/swiggyupi@axb/Payment from Ph/HDFC BANK LTD/929855123685/AXL0mulrr25slff9mzj,4525.21,DR
31-07-2021,UPI/paytmqr6cu3by@p/Payment for 357/HDFC BANK LTD/933642576337/ICI87hyje2djrgoosm9,2480.81,DR
31-07-2021,UPI/paytmqr6cu3by@p/Payment from Ph/HDFC BANK LTD/702172923401/AXLp3qck4qdcp0laak5,2389.39,DR
31-07-2021,UPI/zeptomarketplac/UPIIntent/AIRTEL PAYMENTS/786695294467/PPPL9145984060657XXXXXXXXXX,3085.72,DR
31-07-2021,NEFT/ICICI BANK/817165751098/HDFC AMC/Transfer,439.5,DR
31-07-2021,UPI/zeptomarketplac/UPIIntent/AIRTEL PAYMENTS/564710183667/PPPL4297619516214XXXXXXXXXX,798.44,DR
31-07-2021,ACH/HDFC AMC 2520/PR6706920AI07,5502.11,CR
31-07-2021,NEFT/YES BANK LIMITE/651926253932/HDFC AMC/Transfer,2738.73,DR
31-07-2021,UPI/paytmqr6cu3by@p/Payment for 490/AIRTEL PAYMENTS/853747969613/RBL0ups2a0qhl5pljtk,4644.64,DR
31-07-2021,UPI/paytmqr6cu3by@p/Payment for 716/AXIS BANK/192147814972/RBL6cb8hidm9pc61om0,233.49,DR
31-07-2021,UPI/gpay-1124412000/Payment from Ph/ICICI BANK/199700420165/RBLrh1bd8a4kjijhm2x,1570.48,DR
31-07-2021,UPI/gpay-1124412000/UPIIntent/HDFC BANK LTD/510366377267/PPPL9652882238132XXXXXXXXXX,2490.1,DR
31-07-2021,NEFT/AIRTEL PAYMENTS/253490524918/ABB Dividend/Transfer,3803.07,DR
31-07-2021,NEFT/HDFC BANK LTD/579495955011/HDFC AMC/Transfer,4459.77,DR
31-07-2021,UPI/zeptomarketplac/Payment for 711/AXIS BANK/280556045222/RBLimqe1ygx0qyynbz5,2144.46,DR
31-07-2021,UPI/zeptomarketplac/Payment from Ph/AXIS BANK/285299612889/YBLvhhtv4f7qzc5b08y,721.05,DR
31-07-2021,UPI/paytmqr6cu3by@p/UPIIntent/HDFC BANK LTD/059591473760/PPPL4015286519952XXXXXXXXXX,2439.24,DR
31-07-2021,UPI/paytmqr6cu3by@p/Payment for 860/ICICI BANK/213265512903/RBLtnj2yqo1hiyqsgw2,3214.77,DR
31-07-2021,NEFT/YES BANK LIMITE/895298675317/Zerodha/Transfer,1998.75,DR
31-07-2021,NEFT/HDFC BANK LTD/692461606506/MutualFund/Transfer,3983.29,DR
