Date,Description,Amount,Type
31-05-2021,UPI/swiggyupi@axb/Payment for 586/HDFC BANK LTD/732831240056/YBL07eqqsmo8xp6ur7a,3563.98,DR
31-05-2021,ACH/CRISIL 7462/PR1634305AI07,19541.72,CR
31-05-2021,UPI/swiggyupi@axb/Payment from Ph/HDFC BANK LTD/514855681582/AXLlg5e805f98pdyv5l,3767.76,DR
31-05-2021,ACH/Zerodha 4889/PR5151442AI07,2092.76,CR
31-05-2021,UPI/swiggyupi@axb/UPIIntent/AIRTEL PAYMENTS/978651263715/PYTM7504310689668XXXXXXXXXX,296.66,DR
31-05-2021,UPI/blinkit.payu@hd/Payment for 482/YES BANK LIMITE/856015359908/YBLhcbuinkonpcmye1b,2720.31,DR
31-05-2021,UPI/swiggyupi@axb/UPIIntent/HDFC BANK LTD/601768693271/PPPL2480190262333XXXXXXXXXX,4237.4,DR
31-05-2021,UPI/swiggyupi@axb/Payment from Ph/ICICI BANK/392814870419/AXLop18d94i89cemjz3,1788.97,DR
31-05-2021,UPI/blinkit.payu@hd/Payment for 680/HDFC BANK LTD/488815077042/PPPLson9tr0pdsqu2ntt,4684.19,DR
31-05-2021,NEFT/ICICI BANK/777044656301/MutualFund/Transfer,3382.65,DR
31-05-2021,UPI/zeptomarketplac/UPIIntent/AIRTEL PAYMENTS/707582438655/PYTM4505084690909XXXXXXXXXX,2430.86,DR
31-05-2021,ACH/Mazagon Dock 5961/PR8365498AI07,1063.92,CR
31-05-2021,UPI/paytmqr6cu3by@p/Payment from Ph/HDFC BANK LTD/014186928834/YBLg42f02kngk0j1a6o,2684.28,DR
31-05-2021,UPI/paytmqr6cu3by@p/UPIIntent/AXIS BANK/707394343100/PPPL6462333536360XXXXXXXXXX,2879.3,DR
31-05-2021,NEFT/AXIS BANK/973340662810/ABB Dividend/Transfer,1380.83,DR
31-05-2021,UPI/paytmqr6cu3by@p/Payment from Ph/HDFC BANK LTD/249159637327/RBLdxbl3b3vzm5rs31q,4917.91,DR
31-05-2021,NEFT/AIRTEL PAYMENTS/371033543758/Mazagon Dock/Transfer,4497.79,DR
31-05-2021,UPI/blinkit.payu@hd/Payment from Ph/ICICI BANK/118746408170/AXLs2eeiox5zjot2opu,3288.88,DR
31-05-2021,NEFT/ICICI BANK/301654474204/Zerodha/Transfer,4427.19,DR
31-05-2021,UPI/swiggyupi@axb/Payment from Ph/AXIS BANK/964398990936/YBL85hx9s5ehjrwbd34,1318.81,DR
31-05-2021,UPI/swiggyupi@axb/UPIIntent/HDFC BANK LTD/107233192741/PYTM1735738301690XXXXXXXXXX,3259.35,DR
31-05-2021,NEFT-ICI058039720213-CRISIL-A/C-0hig2oyjljails4x-00058039720213-YESB,25040.51,CR
