Date,Description,Amount,Type
31-03-2021,UPI/blinkit.payu@hd/Payment for 793/YES BANK LIMITE/994317440772/PPPL43tlo6zug3h73cas,3695.28,DR
31-03-2021,UPI/zeptomarketplac/Payment from Ph/YES BANK LIMITE/833235883833/ICIroblturuv4ltpiog,3633.37,DR
31-03-2021,UPI/gpay-1124412000/Payment from Ph/YES BANK LIMITE/311556158753/ICIkb2e6fnyeds1l88k,4715.84,DR
31-03-2021,NEFT/AIRTEL PAYMENTS/798447856800/CRISIL/Transfer,4328.39,DR
31-03-2021,NEFT/AIRTEL PAYMENTS/458353037255/Zerodha/Transfer,3842.46,DR
31-03-2021,UPI/gpay-1124412000/Payment for 285/AIRTEL PAYMENTS/532636908808/ICIzzwzxfz1xbk2qp59,1983.78,DR
31-03-2021,UPI/zeptomarketplac/UPIIntent/HDFC BANK LTD/694044703790/PYTM8934554706667XXXXXXXXXX,1328.3,DR
31-03-2021,ACH/CRISIL 1471/PR7053952AI07,19910.07,CR
31-03-2021,UPI/swiggyupi@axb/Payment from Ph/AIRTEL PAYMENTS/765866210394/RBLvstqdj8jgcu10k2m,538.88,DR
31-03-2021,UPI/blinkit.payu@hd/Payment from Ph/YES BANK LIMITE/077891641563/PPPLyg5f1emsgea7eey0,2003.94,DR
31-03-2021,UPI/zeptomarketplac/Payment from Ph/YES BANK LIMITE/482881827731/YBLixunjt5zzzuoxxhn,4408.76,DR
31-03-2021,UPI/gpay-1124412000/Payment for 806/HDFC BANK LTD/151515038640/RBLfwimxm3y8s8aj22y,617.31,DR
31-03-2021,NEFT-ICI228659445893-MutualFund-A/C-s55zdhler2leil8i-00228659445893-YESB,24175.05,CR
31-03-2021,UPI/blinkit.payu@hd/UPIIntent/YES BANK LIMITE/627978810099/PPPL7032442157766XXXXXXXXXX,1800.72,DR
31-03-2021,ACH/CRISIL 9125/PR9289097AI07,11358.22,CR
31-03-2021,UPI/zeptomarketplac/Payment for 931/YES BANK LIMITE/671662450833/ICIm2tu57crjxezqwaq,4360.32,DR
31-03-2021,UPI/swiggyupi@axb/Payment from Ph/HDFC BANK LTD/218385227432/PPPL6pu3mngdy82ffelo,3207.16,DR
31-03-2021,UPI/blinkit.payu@hd/Payment for 204/YES BANK LIMITE/432375161245/YBLx6751ygpqjwf8rd6,2768.75,DR
31-03-2021,UPI/zeptomarketplac/Payment for 151/YES BANK LIMITE/709716837747/PPPL2w1k8jceo93jni2y,3670.07,DR
31-03-2021,NEFT-ICI605300718129-MutualFund-A/C-133k78rv5x888l31-00605300718129-YESB,12057.01,CR
31-03-2021,UPI/gpay-1124412000/Payment from Ph/AXIS BANK/261873832944/RBL1r261tzlkx6bp7rm,4037.26,DR
31-03-2021,UPI/blinkit.payu@hd/Payment from Ph/HDFC BANK LTD/241226568779/RBLxqhzmhphxpsfcgn8,946.24,DR
31-03-2021,UPI/swiggyupi@axb/Payment for 415/AIRTEL PAYMENTS/712785586525/RBLr2jfdd99peq59kyd,3670.17,DR
31-03-2021,UPI/blinkit.payu@hd/UPIIntent/HDFC BANK LTD/181064672615/PPPL9323746958305XXXXXXXXXX,3664.78,DR
31-03-2021,UPI/blinkit.payu@hd/UPIIntent/ICICI BANK/022567858529/PPPL7492030860850XXXXXXXXXX,199.68,DR
31-03-2021,NEFT/HDFC BANK LTD/352425869079/CRISIL/Transfer,3785.95,DR
31-03-2021,UPI/zeptomarketplac/Payment from Ph/HDFC BANK LTD/911216631268/RBL7glsixgdwyfwrkp0,3503.06,DR
31-03-2021,NEFT/AXIS BANK/597992053750/Zerodha/Transfer,3894.71,DR
31-03-2021,NEFT/AXIS BANK/415193926427/HDFC AMC/Transfer,3457.76,DR
31-03-2021,NEFT-RBL939977291051-HDFC AMC-A/C-gyibnirdcq5ocr58-00939977291051-YESB,12703.23,CR
31-03-2021,ACH/CRISIL 1851/PR1201778AI07,17987.1,CR
31-03-2021,UPI/paytmqr6cu3by@p/UPIIntent/AIRTEL PAYMENTS/538249822951/PPPL9348812305060XXXXXXXXXX,3702.64,DR
31-03-2021,UPI/swiggyupi@axb/UPIIntent/HDFC BANK LTD/425853445886/PPPL1945264917782XXXXXXXXXX,4364.87,DR
31-03-2021,UPI/swiggyupi@axb/UPIIntent/AIRTEL PAYMENTS/678950306427/PPPL6188733873168XXXXXXXXXX,4913.67,DR
31-03-2021,UPI/paytmqr6cu3by@p/Payment for 190/ICICI BANK/506171114154/ICId7c0jxlpp7k0qkam,1537.81,DR
31-03-2021,NEFT/YES BANK LIMITE/750844440588/ABB Dividend/Transfer,3018.43,DR
31-03-2021,UPI/zeptomarketplac/Payment for 934/AXIS BANK/918878265998/AXLeczrthiacehitlxp,1791.47,DR
31-03-2021,NEFT/YES BANK LIMITE/150769906155/MutualFund/Transfer,4443.67,DR
31-03-2021,ACH/CRISIL 8373/PR1958556AI07,4715.51,CR
