Date,Description,Amount,Type
31-12-2024,ACH/Mazagon Dock 6667/PR8472586AI07,2775.66,CR
31-12-2024,UPI/swiggyupi@axb/Payment from Ph/ICICI BANK/246412845806/AXLr7ook8jq27vu,3016.26,DR
31-12-2024,UPI/gpay-1124412000/Payment for 802/HDFC BANK/710112300772/PPPL1zfihwsm9uwo,1008.86,DR
31-12-2024,UPI/zeptomarketplac/UPIIntent/HDFC BANK/221378921704/PPPL9321362338362XXXXXXXXXX,1504.85,DR
31-12-2024,UPI/zeptomarketplac/UPIIntent/HDFC BANK/795588586897/PYTM4687311648538XXXXXXXXXX,2921.02,DR
31-12-2024,UPI/blinkit.payu@hd/UPIIntent/AIRTEL PAYMENTS/331807267863/PPPL4142537453379XXXXXXXXXX,2588.23,DR
31-12-2024,UPI/blinkit.payu@hd/Payment from Ph/ICICI BANK/197599498988/YBLk7za2yeo540l,2051.45,DR
31-12-2024,UPI/paytmqr6cu3by@p/Payment from Ph/AXIS BANK/295673946368/RBLqp97k0blfum1,1621.4,DR
31-12-2024,UPI/zeptomarketplac/Payment for 381/AIRTEL PAYMENTS/186713087539/PPPLjvp6hqbdsi9t,1251.93,DR
31-12-2024,ACH/HDFC AMC 1764/PR5034210AI07,5328.05,CR
31-12-2024,UPI/swiggyupi@axb/Payment from Ph/HDFC BANK/876543005937/PPPLvwnzvoqqxqrz,2758.44,DR
31-12-2024,UPI/gpay-1124412000/Payment from Ph/HDFC BANK/843107555144/AXLpiwz0vvuaeq1,2806.5,DR
31-12-2024,UPI/zeptomarketplac/Payment from Ph/AIRTEL PAYMENTS/269864433181/AXLssmd8orbx7jq,1167.08,DR
31-12-2024,UPI/gpay-1124412000/Payment from Ph/ICICI BANK/901590721591/YBLdmpvzoyg1p8i,2475.32,DR
30-12-2024,NEFT/HDFC BANK/988661471536/Mazagon Dock/Transfer,1047.28,DR
30-12-2024,NEFT/ICICI BANK/266751819413/Mazagon Dock/Transfer,3407.35,DR
30-12-2024,UPI/blinkit.payu@hd/Payment for 663/ICICI BANK/744191692769/PPPLmxd3hxg95z9r,2612.88,DR
30-12-2024,NEFT/HDFC BANK/788774143228/ABB Dividend/Transfer,3418.12,DR
30-12-2024,NEFT/AXIS BANK/351701830409/ABB Dividend/Transfer,632.78,DR
30-12-2024,UPI/gpay-1124412000/Payment for 414/AXIS BANK/874430686788/RBLxrn7r1rnd5ub,2149.56,DR
30-12-2024,UPI/blinkit.payu@hd/Payment for 914/ICICI BANK/852482062995/PPPL3ntl5i6228wq,3503.67,DR
30-12-2024,NEFT-YBL448456799776-Mazagon Dock-A/C-yuxc74bennjy-00448456799776-YESB,6492.57,CR
30-12-2024,UPI/gpay-1124412000/Payment from Ph/YES BANK/572642177096/RBL7bdhiwt00xk2,2741.06,DR
30-12-2024,UPI/gpay-1124412000/Payment from Ph/HDFC BANK/398087148621/AXL197eltmjtp9t,3471.75,DR
30-12-2024,ACH/Mazagon Dock 5878/PR4184099AI07,7670.39,CR
30-12-2024,UPI/gpay-1124412000/Payment for 984/HDFC BANK/374863246605/ICIu3xne7axi7lm,3314.46,DR
30-12-2024,UPI/zeptomarketplac/Payment from Ph/AIRTEL PAYMENTS/929097521430/YBL39smliww1up6,912.62,DR
30-12-2024,UPI/gpay-1124412000/Payment for 552/ICICI BANK/067795245184/RBL1qrc57rybnfj,3978.16,DR
29-12-2024,UPI/zeptomarketplac/Refund from AXIS BANK 525291125064/PPPL,1227.85,CR
29-12-2024,ACH/HDFC AMC 1092/PR7033481AI07,7873.08,CR
29-12-2024,NEFT/AIRTEL PAYMENTS/485148929425/Zerodha/Transfer,1403.49,DR
29-12-2024,NEFT/AIRTEL PAYMENTS/958596719432/HDFC AMC/Transfer,3483.16,DR
29-12-2024,UPI/paytmqr6cu3by@p/UPIIntent/AIRTEL PAYMENTS/315362646776/PPPL3138221139351XXXXXXXXXX,2333.75,DR
29-12-2024,ACH/Mazagon Dock 6283/PR5787348AI07,4123.4,CR
