Date,Description,Amount,Type
31-08-2024,UPI/paytmqr6cu3by@p/UPIIntent/AIRTEL PAYMENTS/956709467092/PPPL3433895342004XXXXXXXXXX,2811.06,DR
31-08-2024,UPI/blinkit.payu@hd/Payment from Ph/ICICI BANK/135243840849/RBL9auag1ek2hrf,2592.36,DR
31-08-2024,UPI/zeptomarketplac/Payment from Ph/AXIS BANK/264544272753/AXL0pak39emyy72,589.97,DR
31-08-2024,UPI/swiggyupi@axb/Payment for 522/AIRTEL PAYMENTS/780786366889/AXL6dtkoumb9j9y,2567.84,DR
31-08-2024,NEFT/YES BANK/234062859441/MutualFund/Transfer,2969.99,DR
31-08-2024,UPI/gpay-1124412000/Payment for 985/HDFC BANK/137897226748/ICI4r0brntcj9bo,1041.01,DR
31-08-2024,UPI/swiggyupi@axb/UPIIntent/AIRTEL PAYMENTS/151165589869/PYTM3114950755802XXXXXXXXXX,2832.87,DR
31-08-2024,UPI/paytmqr6cu3by@p/Payment from Ph/AXIS BANK/959768469198/YBLvqxahuq9icox,3853.8,DR
31-08-2024,UPI/paytmqr6cu3by@p/UPIIntent/ICICI BANK/858630895074/PYTM8091941741516XXXXXXXXXX,3881.03,DR
31-08-2024,UPI/paytmqr6cu3by@p/UPIIntent/ICICI BANK/104010100341/PPPL8963225259879XXXXXXXXXX,3835.64,DR
31-08-2024,NEFT/ICICI BANK/356439694690/MutualFund/Transfer,1897.83,DR
31-08-2024,UPI/zeptomarketplac/UPIIntent/AIRTEL PAYMENTS/334199659155/PPPL7989876490918XXXXXXXXXX,1686.14,DR
31-08-2024,NEFT/AXIS BANK/048387248079/ABB Dividend/Transfer,1552.29,DR
31-08-2024,UPI/blinkit.payu@hd/Payment from Ph/ICICI BANK/057028514720/AXLdwtb23rezxtl,2967.25,DR
30-08-2024,UPI/swiggyupi@axb/Payment from Ph/ICICI BANK/493352178178/PPPL8krtafk96hfu,2027.3,DR
30-08-2024,UPI/gpay-1124412000/Payment for 120/AIRTEL PAYMENTS/172698411875/YBLvu129pe2nhoi,3322.02,DR
30-08-2024,UPI/paytmqr6cu3by@p/Payment for 752/YES BANK/689410129262/ICIl7yx1t3efbqt,1478.73,DR
30-08-2024,NEFT/AXIS BANK/709432456485/ABB Dividend/Transfer,3660.17,DR
30-08-2024,UPI/swiggyupi@axb/UPIIntent/AIRTEL PAYMENTS/228866640008/PYTM8649488842616XXXXXXXXXX,2017.97,DR
30-08-2024,UPI/swiggyupi@axb/UPIIntent/YES BANK/211851378875/PPPL4738662337879XXXXXXXXXX,2925.94,DR
30-08-2024,UPI/blinkit.payu@hd/Payment from Ph/ICICI BANK/594841923868/AXL5krbh888ppg7,519.07,DR
30-08-2024,ACH/ABB Dividend 2289/PR8120235AI07,5758.03,CR
