Date,Description,Amount,Type
30-06-2024,UPI/gpay-1124412000/UPIIntent/AXIS BANK/273167839989/PPPL9963469368392XXXXXXXXXX,629.57,DR
30-06-2024,UPI/gpay-1124412000/Payment from Ph/HDFC BANK/804417128497/PPPLedk853mtlgci,2828.11,DR
30-06-2024,UPI/gpay-1124412000/Payment from Ph/YES BANK/040378730399/RBL6ssx2dkkfbi7,918.33,DR
30-06-2024,NEFT/YES BANK/605258659285/MutualFund/Transfer,2532.12,DR
30-06-2024,UPI/swiggyupi@axb/Payment from Ph/AXIS BANK/285387271293/YBLt4jphhwoiz4o,1539.48,DR
30-06-2024,UPI/swiggyupi@axb/UPIIntent/ICICI BANK/667878445867/PYTM5850297553005XXXXXXXXXX,2009.0,DR
30-06-2024,UPI/blinkit.payu@hd/UPIIntent/YES BANK/271447663489/PYTM2580366664418XXXXXXXXXX,1206.1,DR
30-06-2024,NEFT-YBL888314222483-MutualFund-A/C-pjldl0xbsa2u-00888314222483-YESB,2239.46,CR
30-06-2024,UPI/blinkit.payu@hd/Payment for 583/HDFC BANK/145713301219/RBLe9uokqwg7j4b,1037.34,DR
30-06-2024,UPI/blinkit.payu@hd/Payment for 293/AIRTEL PAYMENTS/655651204905/AXLqjtrgjwv00jc,1284.25,DR
30-06-2024,UPI/gpay-1124412000/Payment from Ph/YES BANK/372398633113/PPPLq3tz0l166h0z,3718.05,DR
30-06-2024,UPI/zeptomarketplac/Refund from AXIS BANK 018998262831/RBL,7563.34,CR
29-06-2024,NEFT/AIRTEL PAYMENTS/657945742139/Zerodha/Transfer,767.19,DR
29-06-2024,NEFT/AXIS BANK/556901285478/Mazagon Dock/Transfer,3905.62,DR
29-06-2024,UPI/blinkit.payu@hd/Payment from Ph/AIRTEL PAYMENTS/024732163445/ICI4w5k3dgv7a2d,773.37,DR
29-06-2024,NEFT-YBL347590471594-Mazagon Dock-A/C-ez58gafq7lp7-00347590471594-YESB,5782.43,CR
29-06-2024,NEFT/YES BANK/828347413953/Mazagon Dock/Transfer,2507.43,DR
29-06-2024,UPI/swiggyupi@axb/Payment from Ph/ICICI BANK/601485381946/PPPLtqsfi09abu1e,1209.24,DR
29-06-2024,UPI/blinkit.payu@hd/Payment from Ph/AIRTEL PAYMENTS/699738415068/PPPLduj86vkt8gaq,1890.96,DR
