Date,Description,Amount,Type
30-04-2024,UPI/swiggyupi@axb/Payment for 634/AIRTEL PAYMENTS/899989137061/YBLlpayqo15mzo3,796.04,DR
30-04-2024,NEFT/AIRTEL PAYMENTS/546719713359/ABB Dividend/Transfer,3688.62,DR
30-04-2024,UPI/swiggyupi@axb/Payment from Ph/AXIS BANK/230341531563/YBLpkai4v9xveth,2722.34,DR
30-04-2024,UPI/zeptomarketplac/Payment for 802/ICICI BANK/636364031881/RBLsjjeyx36y1k8,2258.91,DR
30-04-2024,ACH/HDFC AMC 8415/PR1111447AI07,7824.49,CR
30-04-2024,UPI/zeptomarketplac/Payment for 884/YES BANK/499803065041/AXLhgo8km2bm44u,2192.72,DR
30-04-2024,NEFT/AXIS BANK/134392768441/HDFC AMC/Transfer,1673.76,DR
30-04-2024,UPI/paytmqr6cu3by@p/Payment for 619/AIRTEL PAYMENTS/026433427571/AXLx6n31h8lac6s,953.07,DR
30-04-2024,UPI/swiggyupi@axb/Payment from Ph/AXIS BANK/678678102582/ICIg4lcawumzfc5,1825.64,DR
30-04-2024,UPI/blinkit.payu@hd/Payment from Ph/AXIS BANK/459053546884/YBLchghrdt69e3j,946.89,DR
30-04-2024,UPI/gpay-1124412000/Payment from Ph/HDFC BANK/654565523468/ICInykdsktrzytv,643.65,DR
30-04-2024,UPI/gpay-1124412000/Payment for 347/AXIS BANK/454667196784/ICInwwx2elfwc3h,3712.17,DR
30-04-2024,UPI/gpay-1124412000/UPIIntent/AXIS BANK/221263743203/PPPL4218296342114XXXXXXXXXX,1678.53,DR
30-04-2024,UPI/gpay-1124412000/Payment from Ph/ICICI BANK/014288513025/ICIaehr25zpzf71,3780.45,DR
30-04-2024,NEFT/YES BANK/506722109593/ABB Dividend/Transfer,2278.56,DR
29-04-2024,UPI/swiggyupi@axb/Payment for 554/YES BANK/797406822468/ICI7br5go7muptq,1513.68,DR
29-04-2024,UPI/zeptomarketplac/Payment for 340/AXIS BANK/960813581164/ICI6m70w3lb8ebk,3133.92,DR
29-04-2024,UPI/paytmqr6cu3by@p/UPIIntent/ICICI BANK/830060702172/PYTM9958591265858XXXXXXXXXX,3874.09,DR
29-04-2024,UPI/paytmqr6cu3by@p/Payment for 832/HDFC BANK/903906510971/AXLqmwi2wx0zy5k,2321.65,DR
29-04-2024,UPI/swiggyupi@axb/Payment from Ph/AIRTEL PAYMENTS/341499477473/AXL929r1gvzxnra,1194.56,DR
29-04-2024,UPI/blinkit.payu@hd/Payment from Ph/ICICI BANK/693305912303/PPPLf9vgs38pdq01,3404.8,DR
29-04-2024,UPI/paytmqr6cu3by@p/Payment from Ph/ICICI BANK/653265700775/YBLfihnuwghf4ii,3981.4,DR
29-04-2024,NEFT/AXIS BANK/564585912603/HDFC AMC/Transfer,2025.17,DR
29-04-2024,UPI/gpay-1124412000/Refund from AIRTEL PAYMENTS 180131610850/YBL,3154.23,CR
29-04-2024,NEFT/AXIS BANK/698811310292/MutualFund/Transfer,2966.12,DR
29-04-2024,UPI/zeptomarketplac/Payment for 570/ICICI BANK/552225319624/AXLub1vnl7nc17q,2167.94,DR
29-04-2024,UPI/gpay-1124412000/Payment for 454/ICICI BANK/811641652001/PPPLvjmok7qd4j9q,3135.06,DR
29-04-2024,UPI/zeptomarketplac/Payment from Ph/YES BANK/214191683455/ICIgshl4h7gqnoq,1231.26,DR
29-04-2024,NEFT/ICICI BANK/462503085395/Mazagon Dock/Transfer,3787.05,DR
29-04-2024,UPI/zeptomarketplac/Payment from Ph/YES BANK/635504404997/YBLlfm755cufagy,853.94,DR
28-04-2024,UPI/blinkit.payu@hd/UPIIntent/AXIS BANK/104086356488/PPPL9214339207295XXXXXXXXXX,3723.79,DR
28-04-2024,UPI/gpay-1124412000/Payment from Ph/YES BANK/828299890377/YBLzmcj5vkb9xft,2750.09,DR
28-04-2024,UPI/paytmqr6cu3by@p/UPIIntent/AXIS BANK/567115379222/PYTM7800203769570XXXXXXXXXX,3462.52,DR
28-04-2024,UPI/zeptomarketplac/UPIIntent/HDFC BANK/667933580984/PPPL1151117126096XXXXXXXXXX,3922.99,DR
28-04-2024,UPI/swiggyupi@axb/Payment for 336/AIRTEL PAYMENTS/495323038720/RBLdb4eyh6jiw5k,3051.49,DR
28-04-2024,NEFT/AIRTEL PAYMENTS/074687878311/Mazagon Dock/Transfer,521.15,DR
28-04-2024,NEFT/YES BANK/277065238180/Zerodha/Transfer,1025.11,DR
28-04-2024,UPI/zeptomarketplac/UPIIntent/YES BANK/170151610638/PPPL4510489130685XXXXXXXXXX,2968.92,DR
28-04-2024,NEFT/YES BANK/647293190915/HDFC AMC/Transfer,1716.33,DR
28-04-2024,UPI/blinkit.payu@hd/UPIIntent/ICICI BANK/178411448169/PYTM1658456058306XXXXXXXXXX,1047.13,DR
28-04-2024,ACH/Mazagon Dock 1931/PR7136695AI07,8630.29,CR
28-04-2024,UPI/gpay-1124412000/UPIIntent/AXIS BANK/779426934270/PYTM8290373692479XXXXXXXXXX,1584.78,DR
28-04-2024,NEFT/AXIS BANK/834371429355/Mazagon Dock/Transfer,518.91,DR
28-04-2024,UPI/blinkit.payu@hd/UPIIntent/AIRTEL PAYMENTS/814035942829/PPPL5042564655242XXXXXXXXXX,3300.91,DR
28-04-2024,UPI/gpay-1124412000/Payment for 951/AXIS BANK/159512197229/PPPLe66vd8q8p7lx,2898.98,DR
27-04-2024,ACH/MutualFund 5298/PR2507744AI07,7393.63,CR
27-04-2024,NEFT-YBL846150255892-Zerodha-A/C-hkkc1eqasa6q-00846150255892-YESB,8692.86,CR
27-04-2024,NEFT/HDFC BANK/131630490530/MutualFund/Transfer,629.69,DR
27-04-2024,UPI/swiggyupi@axb/UPIIntent/HDFC BANK/668458168344/PPPL3284606746479XXXXXXXXXX,2163.24,DR
27-04-2024,UPI/gpay-1124412000/Payment from Ph/YES BANK/341917007344/PPPLonnszfrcd66m,2489.3,DR
27-04-2024,UPI/zeptomarketplac/UPIIntent/HDFC BANK/628407145327/PYTM8314809145278XXXXXXXXXX,2664.45,DR
27-04-2024,UPI/blinkit.payu@hd/Refund from AXIS BANK 275299506379/YBL,2670.02,CR
27-04-2024,UPI/blinkit.payu@hd/Payment from Ph/YES BANK/797284853215/PPPL11jxtp3karh0,3132.96,DR
27-04-2024,UPI/gpay-1124412000/Payment for 612/AXIS BANK/509297625253/RBL20mmyv7fw722,1961.28,DR
27-04-2024,UPI/swiggyupi@axb/UPIIntent/AIRTEL PAYMENTS/260941955865/PPPL3924473398107XXXXXXXXXX,2567.51,DR
27-04-2024,NEFT/ICICI BANK/682566262164/MutualFund/Transfer,1411.71,DR
27-04-2024,UPI/gpay-1124412000/Payment for 820/ICICI BANK/408454598561/ICIwhmydawb8c8k,3677.82,DR
27-04-2024,UPI/blinkit.payu@hd/Payment from Ph/HDFC BANK/092498675349/AXLde80w48pzoqj,1930.75,DR
27-04-2024,NEFT/HDFC BANK/085609571353/HDFC AMC/Transfer,3852.06,DR
27-04-2024,UPI/gpay-1124412000/UPIIntent/ICICI BANK/562300025410/PYTM8217308166422XXXXXXXXXX,2144.64,DR
26-04-2024,UPI/swiggyupi@axb/Payment for 987/YES BANK/210411042516/RBLquhwpc23p5k0,956.83,DR
26-04-2024,UPI/swiggyupi@axb/Payment for 703/YES BANK/414115945477/RBLw8be1zhrhaz5,2688.76,DR
26-04-2024,UPI/paytmqr6cu3by@p/Payment from Ph/HDFC BANK/831921513630/RBLyf0pdslv6m07,2838.54,DR
26-04-2024,NEFT/AIRTEL PAYMENTS/035375283856/Mazagon Dock/Transfer,3221.78,DR
26-04-2024,UPI/blinkit.payu@hd/Payment for 312/YES BANK/078906799849/RBLihqn5zeu9zsq,2769.07,DR
26-04-2024,NEFT/AIRTEL PAYMENTS/263818228159/HDFC AMC/Transfer,1816.56,DR
26-04-2024,NEFT/HDFC BANK/725663113541/Zerodha/Transfer,883.29,DR
26-04-2024,NEFT/ICICI BANK/360218898106/ABB Dividend/Transfer,3639.33,DR
26-04-2024,UPI/gpay-1124412000/Payment for 218/HDFC BANK/846619812009/AXLjq4k3j92z5sj,2246.13,DR
26-04-2024,UPI/paytmqr6cu3by@p/Payment for 632/YES BANK/800027885356/ICId419e1wbx5i8,3301.87,DR
26-04-2024,UPI/blinkit.payu@hd/Payment from Ph/HDFC BANK/803953905220/YBL4l9dy71hd4a9,3535.86,DR
26-04-2024,UPI/paytmqr6cu3by@p/UPIIntent/ICICI BANK/717896261320/PPPL7536037332068XXXXXXXXXX,1102.88,DR
26-04-2024,UPI/zeptomarketplac/UPIIntent/HDFC BANK/518547455414/PYTM3293510599131XXXXXXXXXX,606.83,DR
26-04-2024,UPI/blinkit.payu@hd/Payment from Ph/ICICI BANK/203633743883/ICIemc348iueps1,1944.73,DR
26-04-2024,NEFT/ICICI BANK/359525427098/MutualFund/Transfer,1716.82,DR
25-04-2024,UPI/blinkit.payu@hd/UPIIntent/AXIS BANK/180579297725/PPPL6057941861089XXXXXXXXXX,3537.49,DR
25-04-2024,UPI/blinkit.payu@hd/Payment for 792/YES BANK/462711658707/AXL3zpu96q7nlfx,1512.51,DR
25-04-2024,UPI/gpay-1124412000/Refund from HDFC BANK 883578520602/ICI,7343.64,CR
25-04-2024,ACH/MutualFund 4785/PR9947290AI07,1057.14,CR
25-04-2024,UPI/gpay-1124412000/Payment from Ph/ICICI BANK/489429084380/AXLq9mkbbnt4e1w,2546.0,DR
