Date,Description,Amount,Type
30-09-2023,UPI/gpay-1124412000/Payment from Ph/ICICI BANK/905349422543/PPPLd3h72mhn0fq6,2232.91,DR
30-09-2023,UPI/zeptomarketplac/Payment for 454/ICICI BANK/174130611106/ICIgnwsfltlews8,1874.66,DR
30-09-2023,UPI/blinkit.payu@hd/UPIIntent/YES BANK/526079736486/PPPL8029868807799XXXXXXXXXX,1110.75,DR
30-09-2023,UPI/paytmqr6cu3by@p/Payment from Ph/HDFC BANK/761935389637/ICIha54bpt3vy5t,2123.73,DR
30-09-2023,NEFT/AXIS BANK/887367335100/MutualFund/Transfer,2224.16,DR
30-09-2023,NEFT/HDFC BANK/833520555076/MutualFund/Transfer,1474.63,DR
30-09-2023,UPI/paytmqr6cu3by@p/Payment from Ph/AIRTEL PAYMENTS/156597756543/RBLzdq04jgow96g,3340.63,DR
30-09-2023,UPI/gpay-1124412000/Payment from Ph/YES BANK/150529159450/PPPLvntzld8i6694,3669.19,DR
30-09-2023,UPI/gpay-1124412000/Payment from Ph/ICICI BANK/248585348520/AXLw55bmdilm4xg,1915.17,DR
30-09-2023,UPI/swiggyupi@axb/Payment from Ph/AIRTEL PAYMENTS/325866644743/AXLxfbd0eajtrql,2490.4,DR
30-09-2023,NEFT/YES BANK/391599523905/Mazagon Dock/Transfer,3233.15,DR
30-09-2023,UPI/gpay-1124412000/Payment from Ph/AXIS BANK/715306867265/PPPLj52hzvlh4wqf,1346.27,DR
30-09-2023,UPI/blinkit.payu@hd/Payment for 646/ICICI BANK/889710744453/ICIbfcdwwbg5z50,3662.23,DR
30-09-2023,UPI/paytmqr6cu3by@p/Payment from Ph/HDFC BANK/387453700951/PPPLvncrf7ks5zxp,3275.12,DR
30-09-2023,NEFT/YES BANK/292077955822/HDFC AMC/Transfer,1894.03,DR
30-09-2023,UPI/paytmqr6cu3by@p/UPIIntent/AIRTEL PAYMENTS/196553894204/PYTM2921476468949XXXXXXXXXX,2020.9,DR
29-09-2023,UPI/blinkit.payu@hd/Payment from Ph/ICICI BANK/900277574577/PPPLq47d2ygkb6ey,3048.24,DR
29-09-2023,UPI/gpay-1124412000/UPIIntent/AXIS BANK/081632104848/PYTM5874285983135XXXXXXXXXX,1903.92,DR
29-09-2023,UPI/zeptomarketplac/Payment for 707/HDFC BANK/966951532939/RBLt7vw5g6015nd,2204.41,DR
29-09-2023,UPI/zeptomarketplac/Payment from Ph/AIRTEL PAYMENTS/556130147795/RBLe68r4me2okvi,630.02,DR
29-09-2023,UPI/gpay-1124412000/Payment for 552/AXIS BANK/329129416885/AXL9pdg4dnvgmgm,831.26,DR
29-09-2023,ACH/Zerodha 5181/PR7536884AI07,3851.03,CR
29-09-2023,UPI/gpay-1124412000/Payment from Ph/HDFC BANK/094368158088/ICI0mxjre2wd3m4,2695.53,DR
29-09-2023,UPI/swiggyupi@axb/Payment from Ph/AXIS BANK/239265415922/YBLmjvgly54rbbl,1284.14,DR
29-09-2023,UPI/swiggyupi@axb/Payment for 224/AIRTEL PAYMENTS/680941375307/RBLlapwoiengwlb,2120.45,DR
29-09-2023,UPI/swiggyupi@axb/UPIIntent/AIRTEL PAYMENTS/256127996233/PPPL5263242951992XXXXXXXXXX,1067.41,DR
29-09-2023,UPI/paytmqr6cu3by@p/Refund from HDFC BANK 212064423389/AXL,5745.78,CR
29-09-2023,UPI/zeptomarketplac/Payment for 823/YES BANK/340317007533/ICIy5jbxvhp2dyo,1523.33,DR
29-09-2023,UPI/paytmqr6cu3by@p/UPIIntent/ICICI BANK/370328773314/PYTM3498734546813XXXXXXXXXX,2766.34,DR
29-09-2023,UPI/paytmqr6cu3by@p/Payment for 321/YES BANK/929704016685/PPPLma6vndnuehbi,3823.54,DR
29-09-2023,UPI/swiggyupi@axb/Payment from Ph/YES BANK/665003765523/PPPLv9ehbec4q7m0,861.02,DR
29-09-2023,UPI/zeptomarketplac/UPIIntent/YES BANK/248346956622/PYTM6733192185887XXXXXXXXXX,1551.39,DR
28-09-2023,NEFT/ICICI BANK/327341500383/MutualFund/Transfer,2318.63,DR
28-09-2023,NEFT/AXIS BANK/854089630306/Mazagon Dock/Transfer,3307.31,DR
28-09-2023,UPI/swiggyupi@axb/Payment for 455/HDFC BANK/664743640865/RBLx12eq5nzdv0i,1310.54,DR
28-09-2023,UPI/blinkit.payu@hd/Payment for 475/ICICI BANK/953226832027/AXLgn02p6sx7jmm,543.4,DR
28-09-2023,UPI/gpay-1124412000/Payment for 460/AXIS BANK/767444046082/ICIww6m7q0z9n2g,1794.1,DR
28-09-2023,UPI/blinkit.payu@hd/Payment for 302/HDFC BANK/829869419959/AXL72557ptkusy6,2330.73,DR
28-09-2023,UPI/paytmqr6cu3by@p/Payment from Ph/AIRTEL PAYMENTS/606268046060/PPPL4c0a72xlh377,1027.46,DR
28-09-2023,UPI/gpay-1124412000/UPIIntent/HDFC BANK/225513300944/PYTM5381819608039XXXXXXXXXX,2870.78,DR
