Date,Description,Amount,Type
31-07-2023,UPI/paytmqr6cu3by@p/Payment from Ph/ICICI BANK/535449555027/ICI56j7ivzw7ywj,3775.01,DR
31-07-2023,UPI/swiggyupi@axb/UPIIntent/AXIS BANK/296184234782/PYTM9929811803620XXXXXXXXXX,3056.94,DR
31-07-2023,NEFT/AIRTEL PAYMENTS/066168473561/Zerodha/Transfer,2098.6,DR
31-07-2023,UPI/zeptomarketplac/Payment for 981/ICICI BANK/865211064377/ICI6gk7uvf7qcvt,3627.53,DR
31-07-2023,NEFT/AXIS BANK/552871576717/Mazagon Dock/Transfer,1231.19,DR
31-07-2023,NEFT/AXIS BANK/246115695711/HDFC AMC/Transfer,1084.33,DR
31-07-2023,UPI/swiggyupi@axb/Payment from Ph/ICICI BANK/584717644335/AXLshs7rjxagw48,2167.13,DR
31-07-2023,UPI/gpay-1124412000/UPIIntent/AXIS BANK/124755365109/PYTM2221701592376XXXXXXXXXX,1429.67,DR
31-07-2023,UPI/blinkit.payu@hd/Payment from Ph/AXIS BANK/564329257507/ICIwi5rugc1033c,3209.06,DR
31-07-2023,UPI/zeptomarketplac/UPIIntent/YES BANK/329536489712/PPPL6301957160590XXXXXXXXXX,922.74,DR
31-07-2023,UPI/blinkit.payu@hd/Refund from ICICI BANK 233258129121/AXL,5943.07,CR
31-07-2023,UPI/zeptomarketplac/Payment for 756/ICICI BANK/460219332162/YBLaaax2gkrqava,2439.45,DR
31-07-2023,UPI/blinkit.payu@hd/Payment for 514/ICICI BANK/609951817343/RBL24ox0mcxpk1c,2651.18,DR
31-07-2023,NEFT/AIRTEL PAYMENTS/105666177842/ABB Dividend/Transfer,1930.1,DR
31-07-2023,UPI/swiggyupi@axb/Payment from Ph/ICICI BANK/091097689822/YBLg1j8k9j51zik,573.86,DR
30-07-2023,UPI/paytmqr6cu3by@p/Payment for 666/AXIS BANK/890873184466/AXLmbr99wdmv9iw,1413.45,DR
30-07-2023,UPI/gpay-1124412000/Payment from Ph/AIRTEL PAYMENTS/934211316536/RBL6hjppxdb62fl,1052.4,DR
30-07-2023,UPI/blinkit.payu@hd/Payment for 256/YES BANK/005419981843/RBL53xu4plwgob4,3786.2,DR
30-07-2023,UPI/swiggyupi@axb/UPIIntent/AXIS BANK/821787970519/PYTM4147331978255XXXXXXXXXX,2233.17,DR
30-07-2023,NEFT/YES BANK/707757282427/Mazagon Dock/Transfer,2233.47,DR
30-07-2023,NEFT/HDFC BANK/440928362920/Zerodha/Transfer,958.95,DR
30-07-2023,UPI/swiggyupi@axb/Payment from Ph/AIRTEL PAYMENTS/629087197833/PPPLl01d5mnddc3n,1904.44,DR
30-07-2023,UPI/blinkit.payu@hd/UPIIntent/AXIS BANK/050320948156/PPPL4761825394815XXXXXXXXXX,3048.27,DR
30-07-2023,UPI/zeptomarketplac/Payment from Ph/AIRTEL PAYMENTS/203628232227/PPPLx08n0md0ddci,3339.86,DR
30-07-2023,UPI/zeptomarketplac/UPIIntent/AXIS BANK/027308220572/PYTM3698808430314XXXXXXXXXX,1254.12,DR
30-07-2023,UPI/swiggyupi@axb/UPIIntent/AXIS BANK/110862810324/PYTM6361992427158XXXXXXXXXX,1282.14,DR
30-07-2023,UPI/blinkit.payu@hd/Payment from Ph/HDFC BANK/527028459219/RBLyyfbnf12i49f,3993.21,DR
30-07-2023,UPI/blinkit.payu@hd/Payment for 197/ICICI BANK/489771852328/YBLcx2l6tmhh9gs,1319.52,DR
30-07-2023,UPI/zeptomarketplac/Payment from Ph/ICICI BANK/617990529571/PPPLt2yrxr46weks,2612.52,DR
30-07-2023,NEFT/HDFC BANK/381600581036/Mazagon Dock/Transfer,2686.76,DR
29-07-2023,UPI/blinkit.payu@hd/Payment from Ph/YES BANK/080406311524/AXLdpkofian6gy0,1648.63,DR
29-07-2023,UPI/swiggyupi@axb/UPIIntent/YES BANK/562696174144/PYTM5278375581745XXXXXXXXXX,3388.61,DR
29-07-2023,NEFT/AXIS BANK/791269222302/ABB Dividend/Transfer,2249.66,DR
29-07-2023,UPI/zeptomarketplac/Payment from Ph/AIRTEL PAYMENTS/817001263942/ICI731k3zxt06um,634.82,DR
29-07-2023,NEFT/HDFC BANK/838065855944/HDFC AMC/Transfer,1791.35,DR
29-07-2023,UPI/gpay-1124412000/Payment for 487/ICICI BANK/831133439990/YBLpx2pk6rtbh08,1930.77,DR
29-07-2023,UPI/paytmqr6cu3by@p/Payment from Ph/HDFC BANK/832821349258/YBLb4y5ivjcx3qr,672.28,DR
29-07-2023,NEFT-YBL050355072683-MutualFund-A/C-w2cqvtdmbjfw-00050355072683-YESB,1802.34,CR
29-07-2023,UPI/paytmqr6cu3by@p/Payment from Ph/HDFC BANK/661835097973/YBLjczekth41yp6,3645.87,DR
29-07-2023,NEFT/AXIS BANK/572087105022/HDFC AMC/Transfer,1540.11,DR
29-07-2023,NEFT/YES BANK/919614432631/Zerodha/Transfer,886.34,DR
29-07-2023,NEFT/HDFC BANK/323305577705/MutualFund/Transfer,3626.46,DR
29-07-2023,UPI/paytmqr6cu3by@p/UPIIntent/ICICI BANK/753292095034/PPPL1289649437161XXXXXXXXXX,2436.11,DR
29-07-2023,NEFT/YES BANK/296710718387/HDFC AMC/Transfer,805.42,DR
29-07-2023,UPI/paytmqr6cu3by@p/Payment for 922/HDFC BANK/718731949786/YBLkngv6n7241cc,3857.37,DR
28-07-2023,NEFT/AXIS BANK/377604943341/MutualFund/Transfer,2654.42,DR
28-07-2023,UPI/paytmqr6cu3by@p/Payment from Ph/YES BANK/392402390113/RBL4qkxrd1nxxag,2236.7,DR
28-07-2023,NEFT-YBL715599688321-ABB Dividend-A/C-9g834igffwv3-00715599688321-YESB,4953.02,CR
28-07-2023,UPI/swiggyupi@axb/Payment from Ph/AXIS BANK/500118423386/AXLpwude0i73gff,1937.29,DR
28-07-2023,UPI/swiggyupi@axb/Payment from Ph/HDFC BANK/077754269637/YBL71job9tlwj8e,2662.54,DR
28-07-2023,UPI/gpay-1124412000/Payment for 837/YES BANK/567269937571/AXLemq0qpteeiji,575.04,DR
28-07-2023,UPI/paytmqr6cu3by@p/Payment from Ph/ICICI BANK/759162963727/RBL9c357noqitbk,2206.09,DR
28-07-2023,UPI/gpay-1124412000/Payment from Ph/AIRTEL PAYMENTS/440776514710/AXL2sp71c4csjc4,1517.68,DR
28-07-2023,NEFT/HDFC BANK/049295378098/MutualFund/Transfer,3901.66,DR
28-07-2023,UPI/blinkit.payu@hd/Payment for 523/HDFC BANK/114984849354/AXLtzggcxlfjyoi,2577.36,DR
28-07-2023,UPI/paytmqr6cu3by@p/Payment from Ph/AIRTEL PAYMENTS/576026510141/AXLjs05atmjomls,2143.14,DR
28-07-2023,UPI/gpay-1124412000/UPIIntent/HDFC BANK/741058475605/PYTM8178368904142XXXXXXXXXX,759.73,DR
28-07-2023,NEFT/ICICI BANK/053734579747/ABB Dividend/Transfer,2459.41,DR
28-07-2023,UPI/paytmqr6cu3by@p/Payment from Ph/AIRTEL PAYMENTS/696403080318/YBLo4iods8f1io9,2802.17,DR
28-07-2023,UPI/paytmqr6cu3by@p/UPIIntent/AIRTEL PAYMENTS/483427559231/PYTM3536488963505XXXXXXXXXX,1875.89,DR
27-07-2023,UPI/swiggyupi@axb/Payment from Ph/AIRTEL PAYMENTS/614156156668/PPPLiweks2amsvuk,2137.45,DR
27-07-2023,NEFT/AIRTEL PAYMENTS/513864252727/HDFC AMC/Transfer,1793.7,DR
27-07-2023,UPI/blinkit.payu@hd/UPIIntent/YES BANK/841686189301/PPPL7647806383496XXXXXXXXXX,2284.5,DR
27-07-2023,UPI/gpay-1124412000/Payment from Ph/AIRTEL PAYMENTS/203548997983/RBLysl26ebg925q,2573.66,DR
27-07-2023,UPI/zeptomarketplac/UPIIntent/YES BANK/168518110400/PPPL4185193177814XXXXXXXXXX,3989.16,DR
27-07-2023,UPI/gpay-1124412000/Payment from Ph/AIRTEL PAYMENTS/761302201894/YBL2rcv11r98rrt,2958.56,DR
27-07-2023,UPI/blinkit.payu@hd/UPIIntent/HDFC BANK/091363143702/PPPL7339094988795XXXXXXXXXX,2887.48,DR
27-07-2023,ACH/MutualFund 6028/PR7872344AI07,4390.01,CR
27-07-2023,UPI/gpay-1124412000/Payment for 462/HDFC BANK/774275072535/ICIdxdfvei4qwxy,2783.62,DR
27-07-2023,UPI/blinkit.payu@hd/UPIIntent/HDFC BANK/191911980621/PPPL8220606511025XXXXXXXXXX,2536.67,DR
27-07-2023,UPI/swiggyupi@axb/Payment from Ph/AIRTEL PAYMENTS/319954833333/YBLlp22l88fjeul,1708.52,DR
27-07-2023,UPI/blinkit.payu@hd/UPIIntent/ICICI BANK/521465203535/PYTM7717129836696XXXXXXXXXX,951.09,DR
27-07-2023,UPI/zeptomarketplac/Payment for 731/YES BANK/461788319864/AXLrqsy4u8y7ht2,2312.67,DR
27-07-2023,UPI/blinkit.payu@hd/Payment for 164/HDFC BANK/527841505092/RBLik7ljoqrnzxc,1186.04,DR
27-07-2023,NEFT/HDFC BANK/047993086175/HDFC AMC/Transfer,3942.75,DR
26-07-2023,NEFT/YES BANK/296046376440/ABB Dividend/Transfer,1408.78,DR
26-07-2023,UPI/gpay-1124412000/UPIIntent/AIRTEL PAYMENTS/564998959588/PYTM3933727041548XXXXXXXXXX,2753.95,DR
26-07-2023,ACH/Mazagon Dock 6997/PR2637129AI07,7123.54,CR
26-07-2023,UPI/swiggyupi@axb/Payment for 631/AIRTEL PAYMENTS/567714171014/YBLweuamrvfrd2b,2694.06,DR
26-07-2023,NEFT/ICICI BANK/367236242517/ABB Dividend/Transfer,3335.75,DR
26-07-2023,UPI/gpay-1124412000/UPIIntent/ICICI BANK/197927709064/PPPL4053759863848XXXXXXXXXX,2870.71,DR
26-07-2023,UPI/zeptomarketplac/UPIIntent/AXIS BANK/646224237687/PYTM6339267690275XXXXXXXXXX,688.75,DR
26-07-2023,UPI/blinkit.payu@hd/Payment from Ph/HDFC BANK/817899885194/ICIiuv1vztee2lf,1224.97,DR
26-07-2023,UPI/paytmqr6cu3by@p/Payment from Ph/AXIS BANK/532558723320/PPPLkdilrfi4a7b3,3946.18,DR
26-07-2023,UPI/blinkit.payu@hd/Payment from Ph/AXIS BANK/624474346192/RBL0sngmgmos4r5,1332.61,DR
26-07-2023,UPI/blinkit.payu@hd/Payment for 827/HDFC BANK/741285319887/ICI8n8rmn8g4qsb,1402.17,DR
26-07-2023,UPI/zeptomarketplac/Payment from Ph/HDFC BANK/355092388533/PPPLs6ssfx5xto6p,3836.2,DR
26-07-2023,NEFT/YES BANK/770731564582/Mazagon Dock/Transfer,1559.43,DR
26-07-2023,UPI/swiggyupi@axb/Payment from Ph/ICICI BANK/886754653747/YBLj9kiknhjv3ng,2677.58,DR
26-07-2023,UPI/paytmqr6cu3by@p/Payment for 873/YES BANK/848734808149/PPPLazfabl1s6vjo,3843.02,DR
25-07-2023,NEFT/AXIS BANK/345134645102/HDFC AMC/Transfer,2588.89,DR
25-07-2023,UPI/blinkit.payu@hd/Payment for 903/AIRTEL PAYMENTS/792315761516/AXL0ojb5gubrb2k,3294.08,DR
25-07-2023,UPI/gpay-1124412000/Payment for 723/HDFC BANK/290191309293/RBLbyckvxlbk1oe,3804.85,DR
25-07-2023,UPI/gpay-1124412000/Payment for 520/AXIS BANK/827449295315/PPPLje3lgiokfwe0,2865.06,DR
25-07-2023,UPI/gpay-1124412000/UPIIntent/AIRTEL PAYMENTS/699464777467/PYTM8624851774591XXXXXXXXXX,2304.38,DR
25-07-2023,UPI/paytmqr6cu3by@p/Payment from Ph/AXIS BANK/785132306000/ICIzpnxevuvw7ji,1526.68,DR
25-07-2023,NEFT/AXIS BANK/231898063548/HDFC AMC/Transfer,3687.02,DR
25-07-2023,NEFT/ICICI BANK/712642769437/Mazagon Dock/Transfer,3326.6,DR
