Date,Description,Amount,Type
31-05-2023,UPI/paytmqr6cu3by@p/Payment from Ph/ICICI BANK/567555277349/RBLbnjh01xkn6vr,2837.79,DR
31-05-2023,UPI/zeptomarketplac/Payment from Ph/AIRTEL PAYMENTS/204951257791/PPPLiwrsutx3xhzc,1167.33,DR
31-05-2023,UPI/paytmqr6cu3by@p/Payment from Ph/ICICI BANK/384312051903/RBLk9p2ifimmetu,1873.98,DR
31-05-2023,UPI/gpay-1124412000/Payment for 639/YES BANK/946904994821/AXL6tbfnnuv8yh7,3769.44,DR
31-05-2023,UPI/swiggyupi@axb/UPIIntent/ICICI BANK/737995540275/PPPL9671568230771XXXXXXXXXX,3693.35,DR
31-05-2023,UPI/gpay-1124412000/Payment from Ph/ICICI BANK/110892284979/PPPL3af88sd8ry88,508.1,DR
31-05-2023,UPI/swiggyupi@axb/Payment from Ph/YES BANK/365613544048/AXLm8ra99mz68x0,3542.35,DR
31-05-2023,UPI/swiggyupi@axb/Payment for 863/AIRTEL PAYMENTS/417508198378/ICIedhy3jn72m1k,691.69,DR
31-05-2023,UPI/zeptomarketplac/UPIIntent/HDFC BANK/734471066125/PPPL8959262481843XXXXXXXXXX,1520.46,DR
31-05-2023,UPI/swiggyupi@axb/UPIIntent/ICICI BANK/602081152983/PYTM5162219954468XXXXXXXXXX,3431.5,DR
31-05-2023,NEFT/HDFC BANK/974710614138/MutualFund/Transfer,2361.81,DR
30-05-2023,UPI/paytmqr6cu3by@p/UPIIntent/AXIS BANK/527917547281/PPPL1400109863798XXXXXXXXXX,3429.46,DR
30-05-2023,NEFT/ICICI BANK/190007462231/MutualFund/Transfer,761.53,DR
30-05-2023,UPI/swiggyupi@axb/UPIIntent/AXIS BANK/330351878832/PYTM9926836067376XXXXXXXXXX,2865.72,DR
30-05-2023,UPI/swiggyupi@axb/Payment for 918/ICICI BANK/536691000550/RBL7c65506tdquq,1847.94,DR
30-05-2023,NEFT/AXIS BANK/365579339032/Zerodha/Transfer,2360.14,DR
