Date,Description,Amount,Type
31-10-2022,NEFT/ICICI BANK/363428244578/ABB Dividend/Transfer,1689.72,DR
31-10-2022,NEFT-PPPL749383367275-Zerodha-A/C-7r10kpxzfxx4-00749383367275-YESB,4333.81,CR
31-10-2022,UPI/swiggyupi@axb/Payment from Ph/YES BANK/931350475554/ICIwfaqmn1u1onb,2655.37,DR
31-10-2022,UPI/zeptomarketplac/Payment for 974/ICICI BANK/974258021067/ICIx6erj5fjga9c,2851.85,DR
31-10-2022,NEFT/AXIS BANK/299277662380/Zerodha/Transfer,1043.26,DR
31-10-2022,UPI/paytmqr6cu3by@p/UPIIntent/AIRTEL PAYMENTS/652761920925/PPPL2364257281454XXXXXXXXXX,1576.67,DR
31-10-2022,UPI/gpay-1124412000/Payment for 513/ICICI BANK/051276523867/PPPLnhuw49ilam4w,715.76,DR
31-10-2022,UPI/paytmqr6cu3by@p/UPIIntent/AIRTEL PAYMENTS/340035580990/PYTM4660721442588XXXXXXXXXX,1059.75,DR
31-10-2022,NEFT-ICI410641589992-HDFC AMC-A/C-h604j6lmcsy0-00410641589992-YESB,4485.93,CR
31-10-2022,UPI/zeptomarketplac/Payment from Ph/AIRTEL PAYMENTS/890250534373/RBLr46lphz7cd5a,3826.56,DR
31-10-2022,UPI/swiggyupi@axb/UPIIntent/AIRTEL PAYMENTS/067064481144/PPPL2496247585229XXXXXXXXXX,3195.99,DR
31-10-2022,UPI/swiggyupi@axb/UPIIntent/YES BANK/257864567337/PYTM5902561073212XXXXXXXXXX,3608.16,DR
31-10-2022,UPI/zeptomarketplac/Payment from Ph/ICICI BANK/085301132111/PPPL4bbi5as16yna,1109.96,DR
31-10-2022,UPI/blinkit.payu@hd/Payment for 522/AIRTEL PAYMENTS/430148778231/RBL8287jr9nupsa,3338.56,DR
31-10-2022,UPI/paytmqr6cu3by@p/Payment from Ph/AXIS BANK/966339536011/YBLh0749v1jnm02,1942.57,DR
31-10-2022,UPI/gpay-1124412000/UPIIntent/AXIS BANK/175969205468/PYTM5604426978130XXXXXXXXXX,1316.75,DR
30-10-2022,UPI/blinkit.payu@hd/Payment from Ph/YES BANK/267218968286/RBLhqqxauoz0gh7,1434.0,DR
30-10-2022,UPI/gpay-1124412000/Payment from Ph/ICICI BANK/621636163566/ICI2qlduuobeqqh,2755.91,DR
30-10-2022,UPI/paytmqr6cu3by@p/Payment for 628/HDFC BANK/825121839357/RBL7k3ooqkdjrx6,2537.51,DR
30-10-2022,ACH/ABB Dividend 5773/PR2272771AI07,7485.56,CR
30-10-2022,UPI/swiggyupi@axb/Payment for 997/ICICI BANK/958123706631/ICIds4cf1s8l2xl,1838.08,DR
30-10-2022,UPI/swiggyupi@axb/UPIIntent/AXIS BANK/274872812708/PPPL6686954375891XXXXXXXXXX,1886.97,DR
30-10-2022,UPI/gpay-1124412000/UPIIntent/AIRTEL PAYMENTS/785484600583/PPPL4276320978667XXXXXXXXXX,2274.45,DR
30-10-2022,UPI/paytmqr6cu3by@p/Refund from ICICI BANK 501630035220/RBL,4240.14,CR
30-10-2022,UPI/paytmqr6cu3by@p/Payment for 142/ICICI BANK/304445694757/AXLhxnxfw8bjsli,3254.91,DR
30-10-2022,NEFT/HDFC BANK/731940776619/Mazagon Dock/Transfer,2362.27,DR
30-10-2022,UPI/swiggyupi@axb/Payment from Ph/AIRTEL PAYMENTS/666272118136/ICIt4dwfh6t50pz,1272.17,DR
30-10-2022,UPI/zeptomarketplac/Payment from Ph/ICICI BANK/751918315534/YBL3ww5mp1bfn00,2953.44,DR
30-10-2022,NEFT-ICI938916488843-HDFC AMC-A/C-lvt2jhv62prx-00938916488843-YESB,7421.51,CR
30-10-2022,UPI/paytmqr6cu3by@p/UPIIntent/HDFC BANK/919923151092/PPPL2147765053049XXXXXXXXXX,3824.7,DR
30-10-2022,UPI/swiggyupi@axb/Refund from AIRTEL PAYMENTS 039506194042/YBL,8605.47,CR
30-10-2022,UPI/gpay-1124412000/UPIIntent/YES BANK/078818157691/PYTM9060845563819XXXXXXXXXX,1924.22,DR
29-10-2022,NEFT/ICICI BANK/005374261478/HDFC AMC/Transfer,1706.11,DR
29-10-2022,UPI/zeptomarketplac/Payment for 613/AIRTEL PAYMENTS/690438854072/PPPLwblialzkkc5y,1356.59,DR
29-10-2022,NEFT/HDFC BANK/374620256923/MutualFund/Transfer,2174.68,DR
29-10-2022,UPI/zeptomarketplac/Payment for 211/AIRTEL PAYMENTS/487980942295/AXLvfkca6czp122,913.94,DR
29-10-2022,UPI/gpay-1124412000/Payment from Ph/YES BANK/248570654116/AXL7vjgdgg0ul9r,2027.02,DR
29-10-2022,UPI/zeptomarketplac/UPIIntent/HDFC BANK/526679788994/PYTM7022420114800XXXXXXXXXX,3581.85,DR
29-10-2022,UPI/blinkit.payu@hd/Payment from Ph/AIRTEL PAYMENTS/819796910460/RBLawnyi47zfqbc,1859.33,DR
29-10-2022,UPI/paytmqr6cu3by@p/UPIIntent/HDFC BANK/656865299157/PPPL5815651225976XXXXXXXXXX,738.12,DR
29-10-2022,UPI/zeptomarketplac/UPIIntent/AIRTEL PAYMENTS/037815767416/PYTM4253910219161XXXXXXXXXX,3299.86,DR
29-10-2022,NEFT/AIRTEL PAYMENTS/606231222971/Mazagon Dock/Transfer,3771.03,DR
29-10-2022,UPI/blinkit.payu@hd/Refund from AIRTEL PAYMENTS 699866736525/PPPL,5886.89,CR
29-10-2022,UPI/swiggyupi@axb/Payment from Ph/HDFC BANK/074965357148/RBLg7pbl686ur1d,2626.92,DR
29-10-2022,ACH/Zerodha 4233/PR5092286AI07,2075.64,CR
29-10-2022,NEFT/AXIS BANK/455289008522/Mazagon Dock/Transfer,2696.8,DR
29-10-2022,NEFT-AXL164126370436-Mazagon Dock-A/C-z7611ahuq4pr-00164126370436-YESB,5143.29,CR
29-10-2022,UPI/blinkit.payu@hd/Payment from Ph/ICICI BANK/957183350385/AXLh4ttg9pck4tv,1266.9,DR
28-10-2022,UPI/blinkit.payu@hd/Payment from Ph/AXIS BANK/251257346241/PPPL12oeoqg8dtr8,3559.51,DR
28-10-2022,UPI/zeptomarketplac/Payment for 363/ICICI BANK/586344555760/PPPLf6cebe7c78rl,1401.22,DR
28-10-2022,UPI/zeptomarketplac/Payment from Ph/HDFC BANK/079916662881/RBLztc20yvtr4o6,834.92,DR
28-10-2022,NEFT/AIRTEL PAYMENTS/952746589543/Mazagon Dock/Transfer,3556.91,DR
28-10-2022,UPI/swiggyupi@axb/UPIIntent/AIRTEL PAYMENTS/188971342661/PYTM4553384722423XXXXXXXXXX,3195.21,DR
28-10-2022,UPI/gpay-1124412000/Payment for 164/AXIS BANK/564301304782/YBLrb8p8iknj86z,3843.21,DR
28-10-2022,NEFT/HDFC BANK/872834805995/HDFC AMC/Transfer,2479.49,DR
28-10-2022,NEFT/AIRTEL PAYMENTS/188383742776/Zerodha/Transfer,1002.24,DR
28-10-2022,NEFT/AXIS BANK/782933851086/HDFC AMC/Transfer,2130.34,DR
28-10-2022,UPI/zeptomarketplac/UPIIntent/HDFC BANK/426633005234/PPPL2973541971873XXXXXXXXXX,2634.34,DR
28-10-2022,UPI/paytmqr6cu3by@p/UPIIntent/ICICI BANK/659180118249/PYTM9082638178777XXXXXXXXXX,2151.67,DR
28-10-2022,UPI/zeptomarketplac/Payment for 784/AIRTEL PAYMENTS/098997603420/YBL2ssfz5vhr2k7,956.94,DR
28-10-2022,UPI/paytmqr6cu3by@p/UPIIntent/ICICI BANK/429821923015/PPPL6905740629081XXXXXXXXXX,2214.75,DR
28-10-2022,UPI/zeptomarketplac/Payment for 986/AXIS BANK/192490781267/AXLs6bl002m6m1i,1236.56,DR
28-10-2022,NEFT/ICICI BANK/075200666388/Mazagon Dock/Transfer,3978.83,DR
28-10-2022,NEFT/AXIS BANK/343481763853/MutualFund/Transfer,3662.26,DR
27-10-2022,UPI/swiggyupi@axb/UPIIntent/YES BANK/790931476119/PPPL1137663030731XXXXXXXXXX,1380.23,DR
27-10-2022,UPI/swiggyupi@axb/Payment for 702/ICICI BANK/662468170272/RBLsl0dkmg47q6d,1029.48,DR
27-10-2022,ACH/HDFC AMC 3904/PR3777112AI07,3261.36,CR
27-10-2022,UPI/swiggyupi@axb/Payment for 854/YES BANK/363363783153/AXLxggnrt2qtvnp,3708.82,DR
27-10-2022,UPI/blinkit.payu@hd/Payment from Ph/AXIS BANK/755963826028/YBLwqkjsohfa02v,2946.29,DR
27-10-2022,UPI/paytmqr6cu3by@p/Payment for 756/YES BANK/400190437044/YBL0b3cxd7yzf66,2667.4,DR
27-10-2022,UPI/zeptomarketplac/Payment from Ph/AXIS BANK/939129924775/YBLgike6xatf0w6,607.89,DR
27-10-2022,UPI/paytmqr6cu3by@p/Payment from Ph/HDFC BANK/035711999090/AXLmdoylir8dcn7,1428.56,DR
27-10-2022,UPI/swiggyupi@axb/UPIIntent/AXIS BANK/492014790616/PPPL3784196161212XXXXXXXXXX,3738.68,DR
27-10-2022,NEFT/ICICI BANK/064595471824/HDFC AMC/Transfer,1588.56,DR
27-10-2022,UPI/paytmqr6cu3by@p/Payment for 622/HDFC BANK/609839960511/PPPLoi3e8vr7yktx,1015.64,DR
27-10-2022,NEFT/AXIS BANK/165140180904/HDFC AMC/Transfer,2425.93,DR
27-10-2022,UPI/zeptomarketplac/Payment from Ph/AIRTEL PAYMENTS/024962353382/YBLztfl46fokk1d,2788.59,DR
27-10-2022,UPI/swiggyupi@axb/Payment for 190/ICICI BANK/231120831361/ICIejb9wjtsvze3,654.68,DR
27-10-2022,UPI/swiggyupi@axb/Payment from Ph/AIRTEL PAYMENTS/748660525583/ICImq7wokjtmj1c,2170.29,DR
27-10-2022,UPI/zeptomarketplac/UPIIntent/ICICI BANK/755180655127/PPPL6476913389016XXXXXXXXXX,3842.92,DR
26-10-2022,NEFT/YES BANK/233536619058/HDFC AMC/Transfer,2566.93,DR
26-10-2022,NEFT/HDFC BANK/702311949073/Zerodha/Transfer,3048.59,DR
26-10-2022,NEFT/AIRTEL PAYMENTS/690984797662/Mazagon Dock/Transfer,3927.22,DR
26-10-2022,UPI/swiggyupi@axb/Payment for 330/ICICI BANK/802341407472/PPPL2hrb90vuwy3d,3731.89,DR
26-10-2022,NEFT/HDFC BANK/962138081458/Mazagon Dock/Transfer,832.06,DR
26-10-2022,UPI/zeptomarketplac/UPIIntent/HDFC BANK/877137720213/PPPL1668447224528XXXXXXXXXX,3254.44,DR
26-10-2022,ACH/Mazagon Dock 6135/PR1736081AI07,3122.4,CR
26-10-2022,UPI/paytmqr6cu3by@p/Payment for 323/AIRTEL PAYMENTS/046143276091/ICI3fu3piqa2ne2,818.84,DR
26-10-2022,ACH/Mazagon Dock 4342/PR1579633AI07,5112.78,CR
26-10-2022,UPI/gpay-1124412000/Payment from Ph/HDFC BANK/857368813423/AXLgb1mpfzxewmy,3311.66,DR
26-10-2022,UPI/zeptomarketplac/Payment for 669/AIRTEL PAYMENTS/591158044777/YBLkyodpji08m2t,1827.74,DR
26-10-2022,UPI/paytmqr6cu3by@p/Payment from Ph/YES BANK/136507113898/YBLy105sptf92ui,1662.72,DR
26-10-2022,UPI/blinkit.payu@hd/Payment for 620/AXIS BANK/746117173581/AXL1139vb2p8rhk,3825.52,DR
26-10-2022,UPI/swiggyupi@axb/Payment for 160/AXIS BANK/260757260779/PPPLwl29asftt6qc,1591.63,DR
26-10-2022,NEFT/YES BANK/372147468810/Mazagon Dock/Transfer,2006.12,DR
26-10-2022,UPI/gpay-1124412000/Payment from Ph/AIRTEL PAYMENTS/874122913375/ICId4pf62su6466,1768.75,DR
25-10-2022,UPI/blinkit.payu@hd/Payment from Ph/YES BANK/251058590134/AXLs758cjofxww9,2274.17,DR
25-10-2022,UPI/gpay-1124412000/Payment from Ph/HDFC BANK/982248482639/PPPLsd2nqzhycts7,1471.47,DR
25-10-2022,UPI/zeptomarketplac/Payment from Ph/HDFC BANK/956607483447/PPPL4vsmx2sd7thu,3091.46,DR
25-10-2022,UPI/zeptomarketplac/Payment for 681/HDFC BANK/657857195235/ICI9obharvn1i1q,3039.79,DR
25-10-2022,NEFT/AIRTEL PAYMENTS/052240361954/Zerodha/Transfer,3672.79,DR
25-10-2022,UPI/gpay-1124412000/Payment from Ph/HDFC BANK/750717606237/AXLmd45yvfzrlo3,2233.18,DR
25-10-2022,UPI/zeptomarketplac/Payment for 685/HDFC BANK/821117168872/RBL49yabyqf1qut,3895.17,DR
25-10-2022,UPI/paytmqr6cu3by@p/UPIIntent/HDFC BANK/444541823601/PYTM2435910585065XXXXXXXXXX,978.25,DR
25-10-2022,UPI/gpay-1124412000/Payment for 943/YES BANK/268013346728/RBL5vlgtvgzu9tw,3716.57,DR
25-10-2022,UPI/paytmqr6cu3by@p/Payment from Ph/YES BANK/952372898838/PPPLc88uzqj1gzzu,1242.92,DR
25-10-2022,UPI/blinkit.payu@hd/UPIIntent/AIRTEL PAYMENTS/446020370310/PPPL6316577349557XXXXXXXXXX,3674.02,DR
25-10-2022,UPI/zeptomarketplac/Payment for 981/YES BANK/319468598489/AXLmlmfba36q33w,1699.23,DR
25-10-2022,UPI/blinkit.payu@hd/Refund from YES BANK 052881274567/AXL,3689.77,CR
25-10-2022,UPI/zeptomarketplac/UPIIntent/YES BANK/181820301060/PYTM4786424997934XXXXXXXXXX,1386.73,DR
25-10-2022,NEFT/HDFC BANK/736790719795/HDFC AMC/Transfer,1213.8,DR
25-10-2022,UPI/gpay-1124412000/Payment for 795/YES BANK/869959717064/RBLt4ybowwnrww5,1844.28,DR
24-10-2022,UPI/gpay-1124412000/Payment for 332/HDFC BANK/141494749501/YBL6kaa4krzkf0c,2123.97,DR
24-10-2022,UPI/gpay-1124412000/UPIIntent/AIRTEL PAYMENTS/128405093685/PYTM3246108517558XXXXXXXXXX,1075.19,DR
24-10-2022,UPI/blinkit.payu@hd/UPIIntent/AXIS BANK/522706547367/PYTM2840217724869XXXXXXXXXX,2735.74,DR
24-10-2022,UPI/paytmqr6cu3by@p/UPIIntent/YES BANK/482685685717/PPPL1961161601590XXXXXXXXXX,1662.89,DR
24-10-2022,UPI/blinkit.payu@hd/UPIIntent/AXIS BANK/567732936139/PYTM8649986128017XXXXXXXXXX,3142.66,DR
24-10-2022,NEFT/HDFC BANK/871898705435/Mazagon Dock/Transfer,692.84,DR
24-10-2022,UPI/swiggyupi@axb/UPIIntent/ICICI BANK/131693230320/PPPL9390485207246XXXXXXXXXX,1416.98,DR
24-10-2022,ACH/MutualFund 3897/PR5944391AI07,3121.44,CR
24-10-2022,UPI/zeptomarketplac/Payment from Ph/AIRTEL PAYMENTS/025968140862/ICI721jlaof2wqw,3084.72,DR
24-10-2022,UPI/gpay-1124412000/Payment from Ph/AXIS BANK/645103670345/AXLhfsxo1z109o7,554.66,DR
24-10-2022,UPI/blinkit.payu@hd/Payment for 994/AXIS BANK/084565972434/PPPLa410w394mpck,3317.31,DR
24-10-2022,UPI/blinkit.payu@hd/UPIIntent/AXIS BANK/220186630552/PPPL3689376612771XXXXXXXXXX,3234.62,DR
24-10-2022,ACH/Zerodha 4704/PR9045560AI07,8376.27,CR
24-10-2022,UPI/swiggyupi@axb/Payment for 602/AXIS BANK/246095889008/RBLwbqqhrtxb5l2,1393.56,DR
24-10-2022,UPI/zeptomarketplac/Payment for 134/AIRTEL PAYMENTS/470861533780/YBLzz0uw4ms3x96,2030.59,DR
24-10-2022,NEFT/YES BANK/156857672321/ABB Dividend/Transfer,933.39,DR
