Date,Description,Amount,Type
28-02-2022,NEFT/YES BANK/809341239815/Zerodha/Transfer,623.93,DR
28-02-2022,UPI/swiggyupi@axb/Payment from Ph/YES BANK/722346237480/PPPLci4fz3da3exy,1439.64,DR
28-02-2022,NEFT/YES BANK/788447053440/ABB Dividend/Transfer,3130.41,DR
28-02-2022,UPI/blinkit.payu@hd/Payment for 249/ICICI BANK/096095795907/YBLfdvem0zzhanm,2973.01,DR
28-02-2022,NEFT/HDFC BANK/403444036926/Zerodha/Transfer,2366.0,DR
28-02-2022,NEFT/ICICI BANK/518832968421/Zerodha/Transfer,1970.96,DR
28-02-2022,NEFT/HDFC BANK/051282438905/MutualFund/Transfer,2392.99,DR
28-02-2022,UPI/swiggyupi@axb/Payment from Ph/AIRTEL PAYMENTS/347845023187/AXLu07gy79hgbtm,3392.57,DR
28-02-2022,UPI/zeptomarketplac/Payment for 221/AIRTEL PAYMENTS/667562192101/ICItui71g69csaj,2023.84,DR
28-02-2022,ACH/ABB Dividend 1095/PR2518777AI07,8956.79,CR
28-02-2022,UPI/gpay-1124412000/Payment for 676/YES BANK/442675680933/AXL9qwvg27bv6ds,1853.58,DR
28-02-2022,NEFT-AXL020601305437-Mazagon Dock-A/C-8h1kqdokmmki-00020601305437-YESB,2820.77,CR
27-02-2022,UPI/paytmqr6cu3by@p/Payment for 575/AXIS BANK/128869631723/AXLfxcvxkzyo6c7,2242.42,DR
27-02-2022,NEFT/ICICI BANK/606634306579/Mazagon Dock/Transfer,1891.74,DR
27-02-2022,NEFT/AXIS BANK/590627413341/Mazagon Dock/Transfer,1405.96,DR
27-02-2022,UPI/blinkit.payu@hd/UPIIntent/ICICI BANK/938111072442/PPPL7300606349184XXXXXXXXXX,1272.1,DR
27-02-2022,ACH/Mazagon Dock 4983/PR1412119AI07,1894.94,CR
27-02-2022,ACH/MutualFund 9983/PR4508353AI07,5801.35,CR
27-02-2022,UPI/swiggyupi@axb/Payment from Ph/ICICI BANK/865932765229/RBLpq7z7h87e5js,2594.68,DR
27-02-2022,UPI/gpay-1124412000/Payment for 906/AIRTEL PAYMENTS/815283804293/ICIen7wdjh0v507,2803.44,DR
27-02-2022,UPI/blinkit.payu@hd/Payment for 463/YES BANK/884922090604/YBLn3raq2u2dky1,2412.03,DR
27-02-2022,UPI/gpay-1124412000/Payment for 101/AIRTEL PAYMENTS/567542474325/PPPL9wle454vg01b,1306.87,DR
27-02-2022,NEFT/AIRTEL PAYMENTS/810601996610/HDFC AMC/Transfer,1901.75,DR
27-02-2022,UPI/blinkit.payu@hd/UPIIntent/AIRTEL PAYMENTS/545962975734/PYTM3093950691448XXXXXXXXXX,1416.77,DR
26-02-2022,NEFT/ICICI BANK/497423998638/Mazagon Dock/Transfer,2712.79,DR
26-02-2022,UPI/zeptomarketplac/UPIIntent/AIRTEL PAYMENTS/465555866523/PPPL8754261750809XXXXXXXXXX,3454.19,DR
26-02-2022,NEFT/HDFC BANK/101985072680/Zerodha/Transfer,3306.32,DR
26-02-2022,ACH/Mazagon Dock 7619/PR1381843AI07,1209.26,CR
26-02-2022,UPI/paytmqr6cu3by@p/UPIIntent/HDFC BANK/908319315692/PPPL3372943243000XXXXXXXXXX,2873.6,DR
26-02-2022,UPI/gpay-1124412000/Payment from Ph/AXIS BANK/259334241783/PPPL6d3n4mrv2ggr,1978.47,DR
26-02-2022,UPI/swiggyupi@axb/UPIIntent/AIRTEL PAYMENTS/974624006701/PPPL5328500732276XXXXXXXXXX,3913.45,DR
26-02-2022,NEFT/HDFC BANK/027764045062/Zerodha/Transfer,1109.87,DR
26-02-2022,NEFT-PPPL057080674853-ABB Dividend-A/C-j489ju0z5xz0-00057080674853-YESB,7184.81,CR
26-02-2022,ACH/Zerodha 4427/PR5280177AI07,7424.32,CR
26-02-2022,UPI/zeptomarketplac/Payment for 392/AXIS BANK/050353713593/AXL5qq3j54gwz46,3879.08,DR
26-02-2022,UPI/blinkit.payu@hd/Payment for 641/YES BANK/266726200826/AXLx1gceaabt2bg,1138.02,DR
25-02-2022,UPI/paytmqr6cu3by@p/Payment for 342/AIRTEL PAYMENTS/408158487911/AXL6718e7nxfd0i,3574.7,DR
25-02-2022,UPI/swiggyupi@axb/Payment for 104/ICICI BANK/000960843993/PPPLf5bdp7nt7n9c,3165.21,DR
25-02-2022,UPI/gpay-1124412000/UPIIntent/YES BANK/859603225020/PPPL6148130564954XXXXXXXXXX,553.88,DR
25-02-2022,UPI/swiggyupi@axb/Payment from Ph/HDFC BANK/445845872308/PPPLo4cvsuvtrsm4,2247.26,DR
25-02-2022,UPI/swiggyupi@axb/Payment from Ph/YES BANK/396236929450/ICIphhh41a1ghdi,1043.69,DR
25-02-2022,UPI/swiggyupi@axb/UPIIntent/ICICI BANK/318772650443/PPPL1152148107322XXXXXXXXXX,1281.81,DR
25-02-2022,UPI/zeptomarketplac/UPIIntent/AIRTEL PAYMENTS/546374206040/PPPL9250534706123XXXXXXXXXX,713.48,DR
25-02-2022,NEFT/AIRTEL PAYMENTS/065488690230/Zerodha/Transfer,685.77,DR
25-02-2022,UPI/swiggyupi@axb/Payment for 116/YES BANK/148896607490/PPPLlm713b73v5aw,3105.49,DR
