Date,Description,Amount,Type
31-01-2022,NEFT/AIRTEL PAYMENTS/562251380414/Zerodha/Transfer,3009.41,DR
31-01-2022,UPI/paytmqr6cu3by@p/Payment from Ph/HDFC BANK/334052076488/PPPLgfhvpro7lutg,2885.51,DR
31-01-2022,UPI/zeptomarketplac/UPIIntent/AXIS BANK/934575429451/PYTM1092251153040XXXXXXXXXX,3231.45,DR
31-01-2022,UPI/swiggyupi@axb/Payment from Ph/AIRTEL PAYMENTS/946948167871/PPPL6ux2wss9peur,3737.64,DR
31-01-2022,NEFT/AIRTEL PAYMENTS/383662986438/Mazagon Dock/Transfer,1351.51,DR
31-01-2022,UPI/paytmqr6cu3by@p/Payment for 833/YES BANK/353739370190/RBLchbj0vyjg6h5,2719.9,DR
31-01-2022,UPI/gpay-1124412000/UPIIntent/HDFC BANK/073029300853/PYTM9712616505433XXXXXXXXXX,2791.46,DR
31-01-2022,NEFT-PPPL160186059631-ABB Dividend-A/C-svhn6kjxrdrw-00160186059631-YESB,7958.08,CR
31-01-2022,UPI/zeptomarketplac/UPIIntent/HDFC BANK/029882824709/PYTM6337953111818XXXXXXXXXX,3539.65,DR
31-01-2022,NEFT/AXIS BANK/066349460575/MutualFund/Transfer,873.71,DR
31-01-2022,UPI/swiggyupi@axb/UPIIntent/AXIS BANK/473467654083/PPPL9359952725277XXXXXXXXXX,1049.72,DR
31-01-2022,NEFT/ICICI BANK/194705884766/MutualFund/Transfer,2865.24,DR
31-01-2022,NEFT/HDFC BANK/286451617143/Mazagon Dock/Transfer,562.23,DR
30-01-2022,NEFT/ICICI BANK/492230912474/Zerodha/Transfer,2363.17,DR
30-01-2022,NEFT/AXIS BANK/750400903694/Mazagon Dock/Transfer,1289.92,DR
30-01-2022,UPI/swiggyupi@axb/Payment for 623/YES BANK/449286012658/YBL6i54aanrk5y7,1581.14,DR
30-01-2022,UPI/gpay-1124412000/UPIIntent/YES BANK/314953855615/PPPL9127968465205XXXXXXXXXX,1309.34,DR
30-01-2022,ACH/HDFC AMC 9648/PR7220492AI07,2107.71,CR
30-01-2022,ACH/MutualFund 6378/PR3450869AI07,5550.92,CR
30-01-2022,ACH/HDFC AMC 1158/PR8847777AI07,1775.85,CR
30-01-2022,ACH/MutualFund 8190/PR8811623AI07,6355.84,CR
30-01-2022,UPI/paytmqr6cu3by@p/Payment for 298/YES BANK/739112679031/YBLg0yfoi95emn1,3848.68,DR
30-01-2022,NEFT/AIRTEL PAYMENTS/819057061270/ABB Dividend/Transfer,3124.38,DR
30-01-2022,NEFT/ICICI BANK/721761642174/Zerodha/Transfer,2481.47,DR
30-01-2022,NEFT/YES BANK/741882773176/ABB Dividend/Transfer,1890.58,DR
30-01-2022,UPI/zeptomarketplac/Payment for 294/HDFC BANK/835183386844/RBLy4rxb6tlgsjm,1745.23,DR
29-01-2022,UPI/blinkit.payu@hd/Payment for 294/YES BANK/099146993715/PPPLqkykiffbmukr,1999.2,DR
29-01-2022,UPI/gpay-1124412000/Payment for 917/ICICI BANK/620879695941/AXLu4yui4hd0czl,3969.83,DR
29-01-2022,UPI/paytmqr6cu3by@p/UPIIntent/HDFC BANK/065168123488/PPPL2865746416539XXXXXXXXXX,3130.97,DR
29-01-2022,UPI/paytmqr6cu3by@p/Payment from Ph/HDFC BANK/604414272017/YBLqv432w081tsy,1818.49,DR
29-01-2022,NEFT/YES BANK/390203019404/HDFC AMC/Transfer,1082.92,DR
29-01-2022,UPI/gpay-1124412000/Payment for 140/AIRTEL PAYMENTS/115190008971/YBL38lyn5x4n050,2159.34,DR
29-01-2022,UPI/gpay-1124412000/Payment from Ph/YES BANK/055905823165/AXLgw30sqmm1xbc,3278.19,DR
29-01-2022,NEFT/HDFC BANK/543255703892/ABB Dividend/Transfer,3627.65,DR
29-01-2022,NEFT/AXIS BANK/448411323924/Zerodha/Transfer,1640.34,DR
29-01-2022,UPI/blinkit.payu@hd/UPIIntent/YES BANK/671743293627/PPPL2075116537260XXXXXXXXXX,3830.23,DR
29-01-2022,UPI/zeptomarketplac/UPIIntent/YES BANK/071608190801/PYTM7292308564655XXXXXXXXXX,1839.6,DR
29-01-2022,UPI/swiggyupi@axb/UPIIntent/YES BANK/941077282786/PPPL3974455276485XXXXXXXXXX,3715.53,DR
29-01-2022,NEFT/AXIS BANK/638223318718/ABB Dividend/Transfer,3768.28,DR
28-01-2022,NEFT/YES BANK/118312451953/MutualFund/Transfer,3147.27,DR
28-01-2022,UPI/paytmqr6cu3by@p/Payment for 809/AIRTEL PAYMENTS/010557515947/RBLrywcsk86bogx,1557.16,DR
28-01-2022,UPI/swiggyupi@axb/UPIIntent/HDFC BANK/878403263239/PYTM1155880402141XXXXXXXXXX,2058.4,DR
28-01-2022,UPI/zeptomarketplac/UPIIntent/ICICI BANK/294622821611/PPPL6008374550134XXXXXXXXXX,2091.0,DR
28-01-2022,ACH/Zerodha 3982/PR8848997AI07,6390.75,CR
28-01-2022,UPI/gpay-1124412000/UPIIntent/AIRTEL PAYMENTS/540998198180/PYTM8833695384821XXXXXXXXXX,3045.62,DR
28-01-2022,UPI/zeptomarketplac/Payment for 828/AIRTEL PAYMENTS/698957662335/AXLrp2o7ayusr4q,3261.99,DR
28-01-2022,UPI/paytmqr6cu3by@p/Payment from Ph/HDFC BANK/946446965524/AXLjasabx0x6alb,1871.42,DR
28-01-2022,NEFT-RBL745518484800-HDFC AMC-A/C-6qkn50mt667d-00745518484800-YESB,6309.27,CR
28-01-2022,UPI/blinkit.payu@hd/Payment from Ph/HDFC BANK/198516892754/ICIyo21oxxx3k62,2657.52,DR
28-01-2022,NEFT-ICI020418996307-Zerodha-A/C-kl3mgkg943s5-00020418996307-YESB,2047.52,CR
28-01-2022,UPI/blinkit.payu@hd/Payment from Ph/ICICI BANK/894515828973/RBLvr0edeb1g1ga,1609.33,DR
28-01-2022,UPI/paytmqr6cu3by@p/Payment for 147/HDFC BANK/882849934278/PPPLx7e6ov78o3ys,2620.49,DR
27-01-2022,NEFT/AXIS BANK/972154857629/HDFC AMC/Transfer,1179.77,DR
27-01-2022,NEFT/HDFC BANK/944618129562/ABB Dividend/Transfer,885.86,DR
27-01-2022,UPI/zeptomarketplac/Payment from Ph/AIRTEL PAYMENTS/327441647377/ICIcnkrb0yf6024,3677.01,DR
27-01-2022,UPI/paytmqr6cu3by@p/Payment for 146/ICICI BANK/061579941538/PPPLzr0unad9lo8k,3539.67,DR
27-01-2022,NEFT/YES BANK/122997750677/ABB Dividend/Transfer,2539.19,DR
