Date,Description,Amount,Type
30-11-2021,UPI/swiggyupi@axb/Refund from HDFC BANK 754745082140/PPPL,1559.84,CR
30-11-2021,NEFT/HDFC BANK/287435194691/ABB Dividend/Transfer,3319.76,DR
30-11-2021,NEFT/YES BANK/051075132296/Mazagon Dock/Transfer,3362.59,DR
30-11-2021,UPI/zeptomarketplac/Payment from Ph/HDFC BANK/400541093489/PPPL1zgbo5uxiuze,3008.97,DR
30-11-2021,NEFT/HDFC BANK/481397457172/Zerodha/Transfer,826.59,DR
30-11-2021,UPI/blinkit.payu@hd/Payment from Ph/HDFC BANK/157258775612/ICIswkpt1up9a71,2175.07,DR
30-11-2021,NEFT/HDFC BANK/932352032255/Mazagon Dock/Transfer,709.92,DR
30-11-2021,NEFT/AIRTEL PAYMENTS/804950974167/MutualFund/Transfer,1952.75,DR
30-11-2021,UPI/gpay-1124412000/UPIIntent/AXIS BANK/265216215783/PYTM9003052276942XXXXXXXXXX,3976.01,DR
30-11-2021,NEFT-AXL547045330613-ABB Dividend-A/C-rh0zfeuixai3-00547045330613-YESB,2166.97,CR
30-11-2021,UPI/paytmqr6cu3by@p/Payment from Ph/HDFC BANK/771879896809/RBLxa2bvzx6qfz0,3181.16,DR
30-11-2021,UPI/gpay-1124412000/Payment for 931/HDFC BANK/308865219905/AXLzhgj2ggwf9qs,649.47,DR
30-11-2021,UPI/gpay-1124412000/UPIIntent/HDFC BANK/733051403188/PYTM4485535700706XXXXXXXXXX,1533.22,DR
30-11-2021,UPI/blinkit.payu@hd/Payment from Ph/AXIS BANK/147293198486/PPPLshfhsdcqscr9,799.23,DR
30-11-2021,UPI/blinkit.payu@hd/Payment for 427/YES BANK/234363457521/PPPLfk5e4vjlja3d,2387.79,DR
30-11-2021,NEFT/YES BANK/816658024377/Zerodha/Transfer,1813.01,DR
29-11-2021,UPI/gpay-1124412000/Payment for 287/ICICI BANK/378113006443/ICI0j914u5gpq8p,2852.11,DR
29-11-2021,UPI/swiggyupi@axb/Payment from Ph/AXIS BANK/279806428656/ICIl614qxm21l2k,3297.61,DR
29-11-2021,UPI/swiggyupi@axb/Payment from Ph/YES BANK/520191943445/AXLqd91odq68ryw,2751.12,DR
29-11-2021,NEFT/YES BANK/017836149979/HDFC AMC/Transfer,3020.42,DR
29-11-2021,UPI/gpay-1124412000/Payment for 998/YES BANK/267029090919/YBLbcw2m6ruubs8,538.55,DR
29-11-2021,UPI/paytmqr6cu3by@p/UPIIntent/ICICI BANK/650975635012/PYTM8628651741019XXXXXXXXXX,3867.79,DR
29-11-2021,UPI/paytmqr6cu3by@p/Refund from ICICI BANK 651672142788/ICI,3984.13,CR
29-11-2021,UPI/zeptomarketplac/Payment for 796/AIRTEL PAYMENTS/939909975700/AXLfevtanpwutw4,3242.12,DR
29-11-2021,UPI/swiggyupi@axb/Payment from Ph/AIRTEL PAYMENTS/308663789644/PPPLnl8nzl47lk7u,2644.31,DR
29-11-2021,NEFT/ICICI BANK/027731603955/Zerodha/Transfer,1731.22,DR
29-11-2021,UPI/swiggyupi@axb/Payment from Ph/AXIS BANK/446786839150/ICIwffq6im23u2f,1612.02,DR
29-11-2021,NEFT-ICI047819578343-Mazagon Dock-A/C-c9z058r2ugwv-00047819578343-YESB,2571.47,CR
29-11-2021,NEFT/AXIS BANK/838419248625/MutualFund/Transfer,2392.68,DR
29-11-2021,UPI/paytmqr6cu3by@p/Refund from HDFC BANK 368016731236/RBL,3990.18,CR
29-11-2021,UPI/paytmqr6cu3by@p/UPIIntent/ICICI BANK/370028361850/PYTM2895651884656XXXXXXXXXX,3379.39,DR
29-11-2021,NEFT/YES BANK/318324379136/Mazagon Dock/Transfer,1333.21,DR
28-11-2021,UPI/gpay-1124412000/Payment for 765/AIRTEL PAYMENTS/461648952432/PPPLzfxaex8cio85,3120.95,DR
28-11-2021,ACH/MutualFund 7420/PR1056071AI07,6930.2,CR
28-11-2021,UPI/swiggyupi@axb/Payment for 667/YES BANK/907275944672/ICIc1yka2eypxje,2772.22,DR
28-11-2021,UPI/paytmqr6cu3by@p/UPIIntent/HDFC BANK/509244937347/PYTM1620186988401XXXXXXXXXX,1009.44,DR
28-11-2021,UPI/blinkit.payu@hd/UPIIntent/AXIS BANK/066148860020/PYTM7093409401051XXXXXXXXXX,3311.97,DR
28-11-2021,UPI/gpay-1124412000/UPIIntent/AIRTEL PAYMENTS/014066508623/PPPL3444397900819XXXXXXXXXX,1235.01,DR
28-11-2021,UPI/zeptomarketplac/Payment from Ph/YES BANK/027556643781/PPPL40w9jmyvwpfo,2705.99,DR
28-11-2021,NEFT/AXIS BANK/437909143989/Mazagon Dock/Transfer,3204.6,DR
28-11-2021,UPI/blinkit.payu@hd/Payment for 575/AIRTEL PAYMENTS/012231538332/RBLx1xbsowlurvw,572.28,DR
28-11-2021,NEFT/ICICI BANK/851864016488/Mazagon Dock/Transfer,1473.28,DR
28-11-2021,UPI/paytmqr6cu3by@p/UPIIntent/ICICI BANK/272810341166/PYTM3131676918066XXXXXXXXXX,1229.53,DR
28-11-2021,UPI/paytmqr6cu3by@p/Payment from Ph/AIRTEL PAYMENTS/017345398671/RBLe10c86f8l6a6,2115.2,DR
28-11-2021,UPI/gpay-1124412000/Payment for 754/HDFC BANK/438986264595/PPPLycozn6sxdkcy,2859.16,DR
28-11-2021,NEFT/HDFC BANK/650557619912/MutualFund/Transfer,3427.03,DR
28-11-2021,UPI/swiggyupi@axb/UPIIntent/AIRTEL PAYMENTS/336535926095/PYTM8526827982212XXXXXXXXXX,1722.9,DR
28-11-2021,UPI/gpay-1124412000/Payment for 667/AIRTEL PAYMENTS/292456357588/AXLivdctrmtel8q,1611.72,DR
27-11-2021,UPI/paytmqr6cu3by@p/Payment for 423/YES BANK/831712525667/ICI3jwy6lpt3pkw,1733.25,DR
27-11-2021,UPI/zeptomarketplac/UPIIntent/AXIS BANK/881546457485/PPPL6721661423995XXXXXXXXXX,3360.27,DR
27-11-2021,UPI/zeptomarketplac/UPIIntent/YES BANK/647705372751/PPPL2091536161181XXXXXXXXXX,844.99,DR
27-11-2021,UPI/zeptomarketplac/Payment for 789/HDFC BANK/334843900616/AXLnq8dlfqoqdz8,2910.69,DR
27-11-2021,UPI/swiggyupi@axb/Payment for 784/ICICI BANK/214903095716/ICI2we41k5wy1u9,2216.58,DR
27-11-2021,NEFT/AXIS BANK/117248817706/Mazagon Dock/Transfer,3197.4,DR
27-11-2021,UPI/swiggyupi@axb/UPIIntent/HDFC BANK/605767687968/PPPL5364971368965XXXXXXXXXX,2596.95,DR
27-11-2021,UPI/swiggyupi@axb/Payment from Ph/YES BANK/680326458151/ICIfjnqvu2z9s7b,1498.98,DR
27-11-2021,NEFT-AXL973611920054-Zerodha-A/C-b0umcd8ujnfa-00973611920054-YESB,1596.36,CR
27-11-2021,UPI/zeptomarketplac/UPIIntent/AXIS BANK/028448123185/PPPL4512451922859XXXXXXXXXX,1384.16,DR
27-11-2021,NEFT/AXIS BANK/216898007303/Mazagon Dock/Transfer,2906.76,DR
27-11-2021,NEFT/AIRTEL PAYMENTS/133896077763/HDFC AMC/Transfer,2200.82,DR
27-11-2021,NEFT/AXIS BANK/368175395517/Zerodha/Transfer,978.07,DR
27-11-2021,UPI/paytmqr6cu3by@p/Payment from Ph/ICICI BANK/957916970165/ICIeyqtmsq9e0h9,2392.25,DR
27-11-2021,UPI/swiggyupi@axb/UPIIntent/AXIS BANK/747467033976/PYTM5778168336792XXXXXXXXXX,2976.79,DR
27-11-2021,UPI/blinkit.payu@hd/Payment from Ph/HDFC BANK/097900705831/RBLganh9acgimg0,756.33,DR
26-11-2021,ACH/Zerodha 1763/PR4676850AI07,7246.85,CR
26-11-2021,UPI/paytmqr6cu3by@p/Payment for 485/ICICI BANK/821072338802/RBL54copk3mlf05,2814.13,DR
26-11-2021,UPI/swiggyupi@axb/Payment from Ph/AIRTEL PAYMENTS/909947345081/RBLrelpjuryzizo,1177.41,DR
26-11-2021,UPI/paytmqr6cu3by@p/Payment from Ph/AXIS BANK/444326875363/AXLlc2d8xj9msp9,1674.16,DR
26-11-2021,NEFT/AXIS BANK/020140408762/Mazagon Dock/Transfer,3003.33,DR
26-11-2021,UPI/zeptomarketplac/Payment for 878/AIRTEL PAYMENTS/197528301616/ICIw0kn4z1lvmuq,699.81,DR
26-11-2021,UPI/blinkit.payu@hd/Payment for 101/ICICI BANK/700288055529/AXL99ktlyt1njvr,1712.13,DR
26-11-2021,UPI/zeptomarketplac/UPIIntent/HDFC BANK/200551052937/PYTM9078479691187XXXXXXXXXX,827.05,DR
26-11-2021,UPI/paytmqr6cu3by@p/Payment from Ph/ICICI BANK/778729166620/ICIt5jskqf39ffn,2021.51,DR
26-11-2021,UPI/blinkit.payu@hd/Payment from Ph/ICICI BANK/887957283881/AXLptazaviaw2f9,1615.55,DR
26-11-2021,UPI/gpay-1124412000/UPIIntent/AXIS BANK/891319470083/PYTM3674468671879XXXXXXXXXX,2652.18,DR
26-11-2021,UPI/paytmqr6cu3by@p/Payment for 444/AIRTEL PAYMENTS/683404405642/ICI6vfjg6dscsen,2699.49,DR
26-11-2021,UPI/swiggyupi@axb/Payment for 906/ICICI BANK/312752444822/ICIy9pedeit1v1w,2878.28,DR
26-11-2021,UPI/zeptomarketplac/Payment from Ph/YES BANK/810683689338/RBLroodoq8llzl5,988.08,DR
26-11-2021,NEFT/HDFC BANK/810791155520/ABB Dividend/Transfer,2557.1,DR
26-11-2021,UPI/paytmqr6cu3by@p/Payment for 648/AXIS BANK/322549750427/AXL6fy9ul8lkirv,2234.11,DR
25-11-2021,NEFT/HDFC BANK/511782320789/Zerodha/Transfer,2213.11,DR
25-11-2021,NEFT/YES BANK/390669152378/Mazagon Dock/Transfer,2697.01,DR
25-11-2021,UPI/blinkit.payu@hd/UPIIntent/HDFC BANK/585741621620/PPPL1945846452018XXXXXXXXXX,674.63,DR
25-11-2021,UPI/swiggyupi@axb/UPIIntent/YES BANK/347311794900/PYTM3775200394695XXXXXXXXXX,2195.48,DR
25-11-2021,UPI/gpay-1124412000/UPIIntent/ICICI BANK/162418893424/PYTM5832900577984XXXXXXXXXX,1723.47,DR
25-11-2021,UPI/blinkit.payu@hd/UPIIntent/ICICI BANK/552588507933/PYTM3196556824919XXXXXXXXXX,3641.14,DR
25-11-2021,UPI/paytmqr6cu3by@p/Payment for 542/AXIS BANK/961760813329/AXLj5e1evc2oitw,2152.92,DR
25-11-2021,UPI/blinkit.payu@hd/UPIIntent/YES BANK/187515820650/PYTM3641497429697XXXXXXXXXX,2118.83,DR
25-11-2021,UPI/swiggyupi@axb/UPIIntent/AIRTEL PAYMENTS/442622258451/PPPL9160178389635XXXXXXXXXX,2579.89,DR
25-11-2021,UPI/paytmqr6cu3by@p/UPIIntent/AIRTEL PAYMENTS/858660549911/PYTM6309419893096XXXXXXXXXX,1690.67,DR
25-11-2021,NEFT-RBL250312425165-ABB Dividend-A/C-dbrwkjhjr6by-00250312425165-YESB,2868.23,CR
