Date,Description,Amount,Type
31-03-2021,NEFT/YES BANK/161256039164/Zerodha/Transfer,2024.45,DR
31-03-2021,UPI/gpay-1124412000/UPIIntent/HDFC BANK/748053988801/PYTM1794480576828XXXXXXXXXX,558.02,DR
31-03-2021,UPI/zeptomarketplac/Payment for 499/AXIS BANK/797832698078/ICI3uofwiwvevzz,3338.37,DR
31-03-2021,UPI/gpay-1124412000/Payment from Ph/YES BANK/032724605867/AXL8t6wyhxpv33p,3637.12,DR
31-03-2021,UPI/blinkit.payu@hd/Payment for 384/AXIS BANK/181527319320/PPPLu2j8agocol9s,2993.3,DR
31-03-2021,UPI/gpay-1124412000/UPIIntent/AXIS BANK/745371347305/PPPL5645011415882XXXXXXXXXX,556.3,DR
31-03-2021,UPI/swiggyupi@axb/Payment from Ph/AXIS BANK/038639548878/ICIm31ujfyo0egc,1804.27,DR
31-03-2021,UPI/zeptomarketplac/UPIIntent/YES BANK/167447042093/PPPL9018779394779XXXXXXXXXX,1434.41,DR
31-03-2021,UPI/paytmqr6cu3by@p/UPIIntent/AIRTEL PAYMENTS/433697798348/PPPL2761661712981XXXXXXXXXX,2931.42,DR
31-03-2021,UPI/swiggyupi@axb/Payment for 736/AIRTEL PAYMENTS/953148921430/RBLubnq1u1039gr,697.98,DR
31-03-2021,UPI/gpay-1124412000/Payment for 995/ICICI BANK/672019390657/RBLze0qz4bzuhbg,3723.8,DR
31-03-2021,UPI/blinkit.payu@hd/Payment from Ph/YES BANK/758101480184/YBLaefbvem9lmpp,2615.36,DR
31-03-2021,UPI/zeptomarketplac/Payment for 422/YES BANK/201209190197/RBLykiwanx7cvr6,1669.69,DR
31-03-2021,UPI/paytmqr6cu3by@p/Payment from Ph/AXIS BANK/585144358020/RBLb3gvq7g223g3,1419.37,DR
31-03-2021,UPI/blinkit.payu@hd/Refund from ICICI BANK 656815843157/RBL,4288.47,CR
30-03-2021,UPI/blinkit.payu@hd/UPIIntent/YES BANK/705407806440/PYTM4797119652989XXXXXXXXXX,2805.03,DR
30-03-2021,UPI/zeptomarketplac/Refund from HDFC BANK 715025982850/ICI,7310.51,CR
30-03-2021,UPI/zeptomarketplac/Payment for 423/YES BANK/524642534801/RBLik87barx5yif,1146.91,DR
30-03-2021,UPI/blinkit.payu@hd/UPIIntent/YES BANK/917242673078/PPPL7919048716704XXXXXXXXXX,2210.41,DR
30-03-2021,UPI/zeptomarketplac/Payment for 886/HDFC BANK/824987396503/ICIm6lsmgfy3qpf,3127.79,DR
30-03-2021,NEFT/HDFC BANK/865831176834/Zerodha/Transfer,2487.4,DR
30-03-2021,NEFT/YES BANK/677298721508/MutualFund/Transfer,3122.14,DR
30-03-2021,UPI/paytmqr6cu3by@p/UPIIntent/YES BANK/410818258057/PYTM5523041665780XXXXXXXXXX,857.38,DR
30-03-2021,NEFT/AIRTEL PAYMENTS/252596385992/HDFC AMC/Transfer,831.42,DR
